Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,-9999
78,Trent Taylor,0,0,0,0,0,Sun,14,15,2022-12-18,28-232,CIN,@,TAM,W 34-23,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
79,Jonathan Williams,0,0,0,0,0,Sun,1,1,2022-09-11,28-221,WAS,,JAX,W 28-22,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,WillJo07
80,Eric Saubert,0,0,0,0,0,Sun,12,13,2022-12-04,28-217,DEN,@,BAL,L 9-10,0,0,0,6,6,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,SaubEr00
81,Dwayne Washington,0,0,0,0,0,Sun,12,12,2022-11-27,28-217,NOR,@,SFO,L 0-13,0,0,0,13,13,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,WashDw00
82,Dare Ogunbowale,0,0,0,0,0,Thu,8,9,2022-11-03,28-183,HOU,,PHI,L 17-29,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,OgunDa00
83,Eric Saubert,0,0,0,0,0,Sun,8,8,2022-10-30,28-182,DEN,@,JAX,W 21-17,0,0,0,15,15,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,SaubEr00
84,Pharaoh Brown,0,0,0,0,0,Mon,8,8,2022-10-31,28-180,CLE,,CIN,W 32-13,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,BrowPh01
85,Trent Taylor,0,0,0,0,0,Sun,7,7,2022-10-23,28-176,CIN,,ATL,W 35-17,0,0,0,40,40,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
86,Pharaoh Brown,0,0,0,0,0,Sun,7,7,2022-10-23,28-172,CLE,@,BAL,L 20-23,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,BrowPh01
87,Dwayne Washington,0,0,0,0,0,Sun,5,5,2022-10-09,28-168,NOR,,SEA,W 39-32,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,WashDw00
88,Trent Taylor,0,0,0,0,0,Sun,5,5,2022-10-09,28-162,CIN,@,BAL,L 17-19,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
89,Dare Ogunbowale,0,0,0,0,0,Sun,5,5,2022-10-09,28-158,HOU,@,JAX,W 13-6,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,OgunDa00
90,Dwayne Washington,0,0,0,0,0,Sun,3,3,2022-09-25,28-154,NOR,@,CAR,L 14-22,0,0,0,72,56,0,0,16,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,WashDw00
91,Trent Taylor,0,0,0,0,0,Thu,4,4,2022-09-29,28-152,CIN,,MIA,W 27-15,0,0,0,23,23,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
92,Dare Ogunbowale,0,0,0,0,0,Sun,4,4,2022-10-02,28-151,HOU,,LAC,L 24-34,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,OgunDa00
93,Trent Taylor,0,0,0,0,0,Sun,3,3,2022-09-25,28-148,CIN,@,NYJ,W 27-12,0,0,0,23,23,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
94,Marcus Johnson,0,0,0,0,0,Sat,15,16,2022-12-24,28-141,NYG,@,MIN,L 24-27,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,JohnMa07
95,Trent Taylor,0,0,0,0,0,Sun,2,2,2022-09-18,28-141,CIN,@,DAL,L 17-20,0,0,0,20,20,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
96,Dare Ogunbowale,0,0,0,0,0,Sun,2,2,2022-09-18,28-137,HOU,@,DEN,L 9-16,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,OgunDa00
97,Marcus Johnson,0,0,0,0,0,Sun,14,15,2022-12-18,28-135,NYG,@,WAS,W 20-12,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,JohnMa07
