Rk,Player,STSnp,Day,G#,Week,Date,Age,Team,,Opp,Result,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
145,Kyle Juszczyk,3,Sun,6,6,2022-10-16,31-176,SFO,@,ATL,L 14-28,32,53.3,0,0.0,3,13.6,FB,JuszKy00
146,Cameron Brate,5,Sun,15,16,2022-12-25,31-175,TAM,@,ARI,W 19-16 (OT),8,9.9,0,0.0,5,15.2,TE,BratCa00
147,Kyle Juszczyk,9,Sun,5,5,2022-10-09,31-169,SFO,@,CAR,W 37-15,38,56.7,0,0.0,9,32.1,FB,JuszKy00
148,Cameron Brate,6,Sun,14,15,2022-12-18,31-168,TAM,,CIN,L 23-34,29,39.2,0,0.0,6,24.0,TE,BratCa00
149,Kyle Juszczyk,6,Mon,4,4,2022-10-03,31-163,SFO,,LAR,W 24-9,32,64.0,0,0.0,6,24.0,FB,JuszKy00
150,Josh Gordon,1,Mon,2,2,2022-09-19,31-159,TEN,@,BUF,L 7-41,18,32.1,0,0.0,1,3.7,WR,GordJo02
151,Kyle Juszczyk,7,Sun,3,3,2022-09-25,31-155,SFO,@,DEN,L 10-11,35,62.5,0,0.0,7,25.0,FB,JuszKy00
152,Blake Bell,3,Sat,17,18,2023-01-07,31-153,KAN,@,LVR,W 31-13,18,30.5,0,0.0,3,13.0,TE,BellBl00
153,Kyle Juszczyk,5,Sun,2,2,2022-09-18,31-148,SFO,,SEA,W 27-7,40,52.6,0,0.0,5,21.7,FB,JuszKy00
154,Blake Bell,5,Sun,16,17,2023-01-01,31-147,KAN,,DEN,W 27-24,8,13.3,0,0.0,5,17.2,TE,BellBl00
155,Kyle Juszczyk,9,Sun,1,1,2022-09-11,31-141,SFO,@,CHI,L 10-19,25,36.8,0,0.0,9,37.5,FB,JuszKy00
156,Blake Bell,1,Sat,15,16,2022-12-24,31-139,KAN,,SEA,W 24-10,6,11.3,0,0.0,1,4.2,TE,BellBl00
157,Cameron Brate,1,Sun,2,2,2022-09-18,31-077,TAM,@,NOR,W 20-10,38,56.7,0,0.0,1,3.8,TE,BratCa00
158,Giovani Bernard,15,Sun,17,18,2023-01-08,31-047,TAM,@,ATL,L 17-30,25,45.5,0,0.0,15,53.6,RB,BernGi00
159,Giovani Bernard,13,Sun,16,17,2023-01-01,31-040,TAM,,CAR,W 30-24,0,0.0,0,0.0,13,41.9,RB,BernGi00
160,Giovani Bernard,17,Sun,15,16,2022-12-25,31-033,TAM,@,ARI,W 19-16 (OT),0,0.0,0,0.0,17,51.5,RB,BernGi00
161,Giovani Bernard,12,Sun,14,15,2022-12-18,31-026,TAM,,CIN,L 23-34,0,0.0,0,0.0,12,48.0,RB,BernGi00
162,Giovani Bernard,9,Sun,13,14,2022-12-11,31-019,TAM,@,SFO,L 7-35,0,0.0,0,0.0,9,42.9,RB,BernGi00
163,Giovani Bernard,8,Mon,12,13,2022-12-05,31-013,TAM,,NOR,W 17-16,0,0.0,0,0.0,8,29.6,RB,BernGi00
164,Michael Burton,13,Sat,17,18,2023-01-07,30-340,KAN,@,LVR,W 31-13,4,6.8,0,0.0,13,56.5,RB,BurtMi00
165,Michael Burton,16,Sun,16,17,2023-01-01,30-334,KAN,,DEN,W 27-24,2,3.3,0,0.0,16,55.2,RB,BurtMi00
166,Michael Burton,13,Sat,15,16,2022-12-24,30-326,KAN,,SEA,W 24-10,4,7.5,0,0.0,13,54.2,RB,BurtMi00
167,Michael Burton,16,Sun,14,15,2022-12-18,30-320,KAN,@,HOU,W 30-24 (OT),1,1.3,0,0.0,16,57.1,RB,BurtMi00
168,Richard Rodgers,7,Sun,12,13,2022-12-04,30-316,LAC,@,LVR,L 20-27,6,8.0,0,0.0,7,23.3,TE,RodgRi00
169,Michael Burton,15,Sun,13,14,2022-12-11,30-313,KAN,@,DEN,W 34-28,4,5.9,0,0.0,15,46.9,RB,BurtMi00
170,Richard Rodgers,7,Sun,11,12,2022-11-27,30-309,LAC,@,ARI,W 25-24,7,10.6,0,0.0,7,25.9,TE,RodgRi00
171,Michael Burton,12,Sun,12,13,2022-12-04,30-306,KAN,@,CIN,L 24-27,3,5.5,0,0.0,12,52.2,RB,BurtMi00
172,Richard Rodgers,11,Sun,10,11,2022-11-20,30-302,LAC,,KAN,L 27-30,21,32.3,0,0.0,11,37.9,TE,RodgRi00
173,Giovani Bernard,5,Sun,2,2,2022-09-18,30-300,TAM,@,NOR,W 20-10,0,0.0,0,0.0,5,19.2,RB,BernGi00
174,Michael Burton,11,Sun,11,12,2022-11-27,30-299,KAN,,LAR,W 26-10,0,0.0,0,0.0,11,45.8,RB,BurtMi00
175,Richard Rodgers,8,Sun,9,10,2022-11-13,30-295,LAC,@,SFO,L 16-22,13,22.4,0,0.0,8,28.6,TE,RodgRi00
176,Giovani Bernard,6,Sun,1,1,2022-09-11,30-293,TAM,@,DAL,W 19-3,0,0.0,0,0.0,6,25.0,RB,BernGi00
177,Michael Burton,15,Sun,10,11,2022-11-20,30-292,KAN,@,LAC,W 30-27,2,3.1,0,0.0,15,51.7,RB,BurtMi00
178,MyCole Pruitt,10,Sun,17,18,2023-01-08,30-290,ATL,,TAM,W 30-17,31,45.6,0,0.0,10,35.7,TE,PruiMy00
179,Richard Rodgers,4,Sun,8,9,2022-11-06,30-288,LAC,@,ATL,W 20-17,15,21.7,0,0.0,4,16.7,TE,RodgRi00
180,Michael Burton,11,Sun,9,10,2022-11-13,30-285,KAN,,JAX,W 27-17,2,3.2,0,0.0,11,42.3,RB,BurtMi00
