Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,Draft,-9999
55,Russell Wilson,2,0,1,0,2,Sun,11,12,11/27/2022,33-363,DEN,@,CAR,L 10-23,2,133,8,8,0,1,0,0,0,0,2,8,4,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
56,Russell Wilson,1,0,0,0,1,Sun,10,11,11/20/2022,33-356,DEN,,LVR,L 16-22 (OT),1,234,8,8,0,0,0,0,0,0,1,8,8,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
57,Russell Wilson,7,0,3,0,7,Sun,9,10,11/13/2022,33-349,DEN,@,TEN,L 10-17,7,256,8,8,0,3,2,0,0,0,7,8,1.1,0,2,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
58,Russell Wilson,4,0,0,0,4,Sun,8,8,10/30/2022,33-335,DEN,@,JAX,W 21-17,4,247,17,17,0,0,0,0,0,0,4,17,4.3,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
59,Russell Wilson,4,0,0,0,4,Mon,6,6,10/17/2022,33-322,DEN,@,LAC,L 16-19 (OT),4,183,23,23,0,0,0,0,0,0,4,23,5.8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
60,Russell Wilson,4,0,1,0,4,Thu,5,5,10/6/2022,33-311,DEN,,IND,L 9-12 (OT),4,272,22,29,0,1,1,7,0,0,4,22,5.5,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
61,Russell Wilson,4,1,0,1,5,Sun,4,4,10/2/2022,33-307,DEN,@,LVR,L 23-32,5,243,30,30,0,0,0,0,0,0,4,29,7.3,1,2,1,1,1,1,0,100,1,0,1,0,0,,0,0,,0,0,6,QB,Mar-75,WilsRu00
62,Russell Wilson,6,0,0,0,6,Sun,3,3,9/25/2022,33-300,DEN,,SFO,W 11-10,6,177,17,17,0,0,1,0,0,0,6,17,2.8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
63,Russell Wilson,2,0,0,0,2,Sun,2,2,9/18/2022,33-293,DEN,,HOU,W 16-9,2,204,3,3,0,0,0,0,0,0,2,3,1.5,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
64,Russell Wilson,1,0,0,0,1,Mon,1,1,9/12/2022,33-287,DEN,@,SEA,L 16-17,1,332,2,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
