Rk,Team,Date,TD,Cmp,Att,Tot,TO,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Tot,TO,TD,XPA,XPM,Att,Md,Sfty
86,LAR,10/30/2022,4,22,23,368,0,Sun,7,8,,SFO,L 14-31,23,111,4.8,1,22,26,84.6,257,3,3,12,0,146.3,368,0,4,4,4,1,1,0
87,ATL,10/30/2022,4,19,36,478,1,Sun,8,8,,CAR,W 37-34 (OT),36,169,4.7,3,19,36,52.8,309,1,1,8,1,79.5,478,1,4,3,2,3,2,0
88,DAL,10/30/2022,4,18,43,371,1,Sun,8,8,,CHI,W 49-29,43,240,5.6,2,18,24,75,131,2,4,25,0,115.1,371,1,4,2,2,1,1,0
89,DET,10/30/2022,4,29,26,476,1,Sun,7,8,,MIA,L 27-31,26,107,4.1,1,29,36,80.6,369,3,2,13,0,137.2,476,1,4,4,4,1,1,0
90,LAC,10/23/2022,4,20,34,404,2,Sun,7,7,,SEA,L 23-37,34,213,6.3,2,20,27,74.1,191,2,2,19,1,102.5,404,2,4,4,4,3,3,0
91,ARI,10/20/2022,4,32,22,494,3,Thu,7,7,,NOR,W 42-34,22,85,3.9,0,32,49,65.3,409,4,0,0,3,93,494,3,4,4,4,2,2,0
92,SFO,10/16/2022,4,13,40,289,0,Sun,6,6,@,ATL,L 14-28,40,168,4.2,1,13,14,92.9,121,2,2,8,0,142.3,289,0,4,4,4,0,0,0
93,IND,10/16/2022,4,20,33,379,1,Sun,6,6,,JAX,W 34-27,33,243,7.4,3,20,22,90.9,136,1,4,29,0,107.6,379,1,4,3,3,0,0,0
94,NOR,10/16/2022,4,28,14,348,1,Sun,6,6,,CIN,L 26-30,14,75,5.4,1,28,37,75.7,273,3,3,27,0,122.9,348,1,4,3,3,1,1,0
95,JAX,10/16/2022,4,42,16,434,0,Sun,6,6,@,IND,L 27-34,16,45,2.8,1,42,58,72.4,389,3,0,0,0,107.6,434,0,4,2,2,2,2,0
96,LVR,10/10/2022,4,29,23,368,0,Mon,5,5,@,KAN,L 29-30,23,103,4.5,0,29,43,67.4,265,4,3,27,0,115,368,0,4,3,3,2,1,0
97,CHI,10/9/2022,4,33,31,429,1,Sun,5,5,@,MIN,L 22-29,31,117,3.8,3,33,42,78.6,312,1,1,7,1,95.6,429,1,4,3,3,2,0,0
98,LAC,10/9/2022,4,21,31,443,1,Sun,5,5,@,CLE,W 30-28,31,213,6.9,3,21,34,61.8,230,1,0,0,1,79.3,443,1,4,4,4,2,0,0
99,NOR,10/9/2022,4,16,21,396,1,Sun,5,5,,SEA,W 39-32,21,151,7.2,1,16,25,64,245,3,3,23,0,135.8,396,1,4,3,2,2,2,0
100,HOU,10/2/2022,4,27,27,419,1,Sun,4,4,,LAC,L 24-34,27,81,3,2,27,39,69.2,338,2,1,2,0,113,419,1,4,4,4,2,2,0
101,JAX,10/2/2022,4,16,50,401,1,Sun,4,4,@,PHI,L 21-29,50,210,4.2,4,16,25,64,191,0,2,13,1,70.6,401,1,4,3,2,1,1,0
102,KAN,10/2/2022,4,39,6,376,2,Sun,4,4,@,TAM,W 41-31,6,3,0.5,1,39,52,75,373,3,1,12,0,113.7,376,2,4,4,4,1,1,0
103,LAC,9/25/2022,4,28,36,413,0,Sun,3,3,,JAX,L 10-38,36,151,4.2,1,28,39,71.8,262,3,0,0,0,115.5,413,0,4,3,3,3,3,0
104,DET,9/25/2022,4,24,25,373,1,Sun,3,3,@,MIN,L 24-28,25,123,4.9,2,24,41,58.5,250,2,1,10,0,92.5,373,1,4,4,4,2,0,0
105,PIT,9/22/2022,4,21,38,376,0,Thu,3,3,@,CLE,L 17-29,38,171,4.5,1,21,31,67.7,205,2,2,15,0,107.6,376,0,4,3,2,1,1,0
106,ATL,9/18/2022,4,27,26,337,3,Sun,2,2,@,LAR,L 27-31,26,65,2.5,1,27,36,75,272,3,1,0,2,100.7,337,3,4,4,4,1,1,0
107,NYJ,9/18/2022,4,22,37,405,1,Sun,2,2,@,CLE,W 31-30,37,184,5,3,22,27,81.5,221,1,1,8,1,97.7,405,1,4,4,3,1,1,0
108,LVR,9/18/2022,4,31,28,413,1,Sun,2,2,,ARI,L 23-29 (OT),28,143,5.1,2,31,49,63.3,270,1,1,7,1,76.1,413,1,4,1,1,0,0,0
109,DET,9/18/2022,4,30,21,396,1,Sun,2,2,,WAS,W 36-27,21,88,4.2,1,30,46,65.2,308,3,5,29,1,97,396,1,4,2,1,0,0,0
110,CLE,9/18/2022,4,27,20,402,1,Sun,2,2,,NYJ,L 30-31,20,93,4.7,0,27,45,60,309,4,2,15,0,110.3,402,1,4,4,4,1,1,0
111,WAS,9/18/2022,4,20,24,425,0,Sun,2,2,@,DET,L 27-36,24,191,8,0,20,34,58.8,234,4,3,22,0,119,425,0,4,4,4,2,2,1
112,JAX,9/11/2022,4,27,28,390,3,Sun,1,1,@,WAS,L 22-28,28,85,3,0,27,41,65.9,305,4,1,8,2,100.2,390,3,4,2,2,0,0,0
