Team,week,games,cum_off_cmp,cum_off_pas_att,cum_off_pas_yds,cum_off_pas_tds,cum_off_int,cum_off_fmb,cum_off_rus_att,cum_off_rus_yds,cum_off_rus_tds
LVR,9,8,179,287,1825,11,5,2,174,882,6
MIA,9,9,214,322,2642,18,7,3,202,782,6
MIN,9,8,200,307,1905,13,6,2,188,816,10
NOR,9,9,204,314,2220,15,10,7,239,1178,9
NWE,9,9,181,266,1824,9,10,7,259,1055,9
NYG,9,8,144,223,1273,6,3,5,263,1292,10
NYJ,9,9,189,324,1971,10,8,5,225,1044,10
PHI,9,8,164,241,1938,12,2,1,276,1190,16
PIT,9,8,192,295,1633,6,10,4,190,759,4
SEA,9,9,207,284,2034,15,5,7,233,1204,10
SFO,9,8,160,251,1897,12,6,6,212,956,7
TAM,9,9,260,398,2440,10,1,6,183,546,3
TEN,9,8,107,176,1090,6,4,5,249,1138,10
WAS,9,9,202,324,1939,15,9,2,239,972,4
ARI,8,8,217,329,1846,10,6,2,213,931,7
ATL,8,8,112,178,1301,10,6,4,268,1265,9
BAL,8,8,148,235,1550,15,6,3,234,1325,7
BUF,8,7,175,271,2154,19,6,6,173,860,4
CAR,8,8,137,238,1497,7,6,3,187,884,7
CHI,8,8,94,160,1015,7,6,6,285,1507,9
CIN,8,8,212,306,2144,17,6,4,183,648,5
CLE,8,8,163,256,1769,7,6,6,266,1317,15
DAL,8,8,144,237,1525,8,5,2,225,1052,10
DEN,8,8,158,274,1764,6,5,4,211,867,5
DET,8,7,160,250,1808,12,6,5,183,956,9
GNB,8,8,188,283,1739,13,4,6,199,980,3
HOU,8,7,149,237,1374,8,6,1,156,647,3
IND,8,8,220,320,2013,9,9,7,189,702,3
JAX,8,8,173,278,1751,10,6,6,222,1153,9
KAN,8,7,176,266,2072,20,5,3,167,751,7
LAC,8,7,203,308,1956,12,4,3,167,622,6
LAR,8,7,183,260,1603,7,8,5,147,479,6
LVR,8,7,158,251,1577,9,5,1,155,809,6
MIA,8,8,193,292,2340,15,7,3,179,705,5
MIN,8,7,177,266,1660,11,5,2,166,760,10
NOR,8,8,184,284,2025,14,9,7,224,1130,9
NWE,8,8,161,236,1691,8,10,6,231,985,9
NYG,8,8,144,223,1273,6,3,5,263,1292,10
NYJ,8,8,171,299,1835,9,8,4,191,870,9
PHI,8,7,143,214,1721,10,2,0,245,1047,14
PIT,8,8,192,295,1633,6,10,4,190,759,4
SEA,8,8,181,250,1771,13,4,7,199,1046,8
SFO,8,8,160,251,1897,12,6,6,212,956,7
TAM,8,8,224,340,2168,9,1,6,163,495,3
TEN,8,7,102,160,1033,6,4,5,220,966,8
WAS,8,8,187,296,1813,13,8,2,209,835,4
ARI,7,7,186,285,1549,7,4,1,191,853,7
ATL,7,7,92,150,1062,7,4,4,231,1098,9
BAL,7,7,121,197,1328,13,6,3,201,1094,6
BUF,7,6,162,246,1938,17,4,6,146,707,3
CAR,7,7,118,202,1188,6,5,3,151,715,4
CHI,7,7,76,136,884,5,6,5,242,1267,7
CIN,7,7,187,271,1951,15,5,3,173,612,5
CLE,7,7,146,233,1501,6,5,5,222,1145,12
DAL,7,7,123,210,1283,6,4,2,196,852,6
DEN,7,7,140,244,1534,5,4,4,183,766,3
DET,7,6,133,213,1497,11,6,5,164,874,7
GNB,7,7,169,253,1549,11,3,6,168,772,3
HOU,7,6,132,207,1256,7,5,1,138,604,3
IND,7,7,203,297,1824,9,9,5,160,567,2
JAX,7,7,155,247,1637,9,4,6,190,962,8
KAN,7,7,176,266,2072,20,5,3,167,751,7
LAC,7,7,203,308,1956,12,4,3,167,622,6
LAR,7,6,161,227,1436,6,8,5,126,423,5
LVR,7,6,135,212,1432,9,4,1,142,771,6
MIA,7,7,164,256,1971,12,7,2,153,598,4
MIN,7,6,153,230,1452,9,5,1,137,587,7
NOR,7,7,161,253,1794,12,9,7,192,994,8
NWE,7,7,137,201,1530,7,9,6,197,858,9
NYG,7,7,127,192,1126,6,3,3,235,1214,9
NYJ,7,7,151,258,1499,7,5,4,176,819,9
PHI,7,6,123,184,1431,6,2,0,225,936,13
PIT,7,7,165,255,1475,5,9,3,166,615,4
SEA,7,7,158,216,1581,11,4,6,174,959,7
SFO,7,7,138,225,1640,9,6,6,189,845,6
TAM,7,7,198,296,1863,8,1,5,148,451,2
TEN,7,6,96,150,993,6,3,4,175,652,6
WAS,7,7,164,265,1547,12,7,2,181,739,3
ARI,6,6,166,256,1360,6,4,1,162,716,5
ATL,6,6,84,137,955,6,4,4,202,991,8
BAL,6,6,112,181,1234,13,6,2,157,934,4
BUF,6,6,162,246,1938,17,4,6,146,707,3
CAR,6,6,102,180,1018,4,5,3,124,542,3
CHI,6,6,63,115,737,4,5,5,197,1024,5
CIN,6,6,153,229,1492,12,5,3,152,534,3
CLE,6,6,124,206,1278,6,5,3,198,1032,10
DAL,6,6,104,185,1092,5,4,1,164,713,4
DEN,6,6,116,198,1315,5,3,4,155,661,2
DET,6,5,112,187,1302,11,4,2,139,757,7
GNB,6,6,146,218,1355,9,3,5,156,734,3
HOU,6,5,104,166,960,5,4,1,115,496,3
IND,6,6,170,253,1597,8,7,4,143,502,2
JAX,6,6,133,203,1327,9,4,5,169,820,6
KAN,6,6,151,230,1655,17,4,2,146,639,4
LAC,6,6,170,257,1680,10,3,2,152,569,5
LAR,6,6,161,227,1436,6,8,5,126,423,5
LVR,6,5,114,185,1196,8,4,1,115,607,3
MIA,6,6,143,221,1710,11,7,2,126,487,4
MIN,6,6,153,230,1452,9,5,1,137,587,7
NOR,6,6,129,204,1385,8,6,7,170,909,8
NWE,6,6,120,173,1340,6,6,5,178,788,8
NYG,6,6,108,162,926,5,3,3,196,978,8
NYJ,6,6,135,232,1394,7,5,4,152,664,8
PHI,6,6,123,184,1431,6,2,0,225,936,13
PIT,6,6,133,211,1229,4,6,3,143,520,4
SEA,6,6,138,189,1390,9,3,5,140,746,5
SFO,6,6,109,179,1297,7,4,5,168,744,6
TAM,6,6,166,247,1587,8,1,5,132,405,2
TEN,6,5,83,130,877,6,3,3,140,514,6
WAS,6,6,144,232,1349,10,6,2,143,573,3
ARI,5,5,143,219,1189,6,3,0,134,572,5
ATL,5,5,71,123,834,4,4,4,162,823,7
BAL,5,5,95,149,1039,12,5,1,133,723,3
BUF,5,5,135,206,1620,14,4,5,115,582,3
CAR,5,5,89,159,908,4,4,3,103,449,3
CHI,5,5,49,88,583,3,4,4,160,787,5
CIN,5,5,125,192,1219,9,5,2,138,459,2
CLE,5,5,103,161,1020,5,3,1,180,962,10
DAL,5,5,86,147,911,4,1,1,138,579,3
DEN,5,5,101,170,1155,4,3,3,132,563,2
DET,5,5,112,187,1302,11,4,2,139,757,7
GNB,5,5,118,173,1137,8,3,4,136,674,3
HOU,5,5,104,166,960,5,4,1,115,496,3
IND,5,5,128,195,1208,5,7,4,127,457,1
JAX,5,5,113,181,1191,8,4,4,136,577,3
KAN,5,5,126,190,1336,15,2,2,128,571,4
LAC,5,5,133,200,1456,10,2,2,128,496,4
LAR,5,5,135,194,1187,5,7,5,97,312,3
LVR,5,5,114,185,1196,8,4,1,115,607,3
MIA,5,5,113,174,1325,9,5,1,106,414,4
MIN,5,5,133,200,1296,7,5,1,120,509,6
NOR,5,5,110,168,1214,7,6,7,136,681,7
NWE,5,5,96,139,1039,4,6,4,149,690,5
NYG,5,5,89,135,771,3,3,2,165,895,7
NYJ,5,5,125,214,1295,7,5,4,119,485,6
PHI,5,5,108,159,1299,4,2,0,186,800,12
PIT,5,5,113,181,1036,2,6,3,114,443,4
SEA,5,5,118,158,1230,9,3,4,110,610,4
SFO,5,5,80,138,1001,5,2,4,152,694,6
TAM,5,5,141,207,1358,7,1,5,106,330,2
TEN,5,5,83,130,877,6,3,3,140,514,6
WAS,5,5,132,210,1263,10,6,2,115,445,2
ARI,4,4,115,177,950,5,2,0,108,448,4
ATL,4,4,57,98,724,3,4,4,131,672,6
BAL,4,4,76,117,869,11,4,1,105,568,3
BUF,4,4,113,170,1188,10,3,4,97,462,2
CAR,4,4,64,117,664,4,3,3,86,385,2
CHI,4,4,34,67,390,2,4,3,136,709,4
CIN,4,4,101,157,1029,8,4,2,117,358,1
CLE,4,4,82,127,790,4,2,1,149,749,7
DAL,4,4,76,131,835,4,1,1,104,416,2
DEN,4,4,80,131,905,4,1,3,104,438,2
DET,4,4,93,152,1091,11,3,1,112,656,7
GNB,4,4,93,134,930,6,3,4,116,580,3
HOU,4,4,88,142,828,5,4,1,84,380,2
IND,4,4,102,154,1008,5,5,4,101,351,1
JAX,4,4,88,134,905,8,2,4,110,441,3
KAN,4,4,97,147,1071,11,2,2,105,468,4
LAC,4,4,111,166,1229,9,2,2,94,258,2
LAR,4,4,106,150,902,4,6,3,82,274,3
LVR,4,4,95,155,973,6,4,1,91,452,2
MIA,4,4,94,140,1167,9,4,0,80,277,2
MIN,4,4,100,158,984,6,4,1,89,392,3
NOR,4,4,93,143,1011,5,5,6,88,446,4
NWE,4,4,79,118,851,3,5,4,114,514,5
NYG,4,4,68,108,558,3,3,2,134,770,4
NYJ,4,4,111,193,1108,7,5,4,86,350,1
PHI,4,4,82,123,1081,4,2,0,153,661,10
PIT,4,4,79,129,726,2,5,2,97,389,4
SEA,4,4,102,133,985,6,3,3,89,459,3
SFO,4,4,62,108,757,3,2,3,123,541,4
TAM,4,4,106,155,1007,6,1,5,83,261,1
TEN,4,4,68,105,741,5,3,3,108,409,4
WAS,4,4,107,172,921,8,5,2,98,402,2
