player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
Rondale Moore,WR,ARI,0,2,0,0,0.029617199332019957,0,0.004238329653310833,0.14159532157067456,0.13776113955979796,0.151335340499763,0.1578193628412395,0,0.011905525771455107
Kyle Pitts,TE,ATL,0,2,0,0,0,0,0,0.22274938194023874,0.20106852462817015,0.2071887729984225,0.20103117654967778,0,0.012314576385664232
Wan Dale Robinson,WR,NYG,0,2,0,0,0.021037516222335174,0.020158136733959848,0.011560047487778835,0.08665097857593933,0.08863097238235079,0.08215468075720424,0.06305603065517497,0,0.012379163324749884
Anthony McFarland,RB,PIT,0,2,0,0,0.09548940719887093,0.0926710577457285,0.061636599654828934,0.014427711749056275,0.018557862269828956,0.013230551160356594,0.009244497305320353,0,0.012745155979568575
Cody White,WR,PIT,0,2,0,0,0,0,0,0.007213855874528137,0.009278931134914473,0.0033327590897607082,0.0039060741578606562,0,0.012895858837435097
J J Taylor,RB,NE,0,1,0,0,0.05865587852408302,0.05310845219626891,0.05867674724653666,0.014705035686482112,0.016453438933108255,0.012601692650566161,0.013788055842651683,0,0.012680569040482925
Darnell Mooney,WR,CHI,0,1,0,0,8.583649770733662e-4,2.820892397149306e-4,8.183499997428061e-4,0.15793286159272213,0.1662187783429764,0.1644957978133715,0.16807523978545874,0,0.01203469964962641
Bryan Edwards,WR,NO,0,1,0,0,5.545867800543625e-7,2.920195446452761e-7,5.973503873541945e-7,0.012998102217008992,0.013859002432005314,0.013147245496706182,0.012874501372378028,0,0.012852800878044662
Allen Robinson,WR,PIT,0,1,0,0,0,0,0,0.12612758983367173,0.1287313214718721,0.12722334888800776,0.1259215380710495,0,0.012206931487188146
Jimmy Garoppolo,QB,LV,0,2,0,0,0.07134505715590765,0.04200578706870543,0.06897917371330996,0,0,0,0,1.5219058050383354,0
Lamar Jackson,QB,BAL,0,2,0,0,0.5093167959332985,0.5260767456651215,0.6888213629065957,0,0,0,0,1.6128148959474262,0
Nico Collins,WR,HOU,0,2,0,0,0,0,0,0.1450752167295389,0.13275808621623086,0.14034411843938657,0.18949959374593278,0,0.012120815568407278
Mike Boone,RB,HOU,0,2,0,0,0.11066424976529028,0.05953323635921529,0.08782299502190331,0.029561690517778884,0.03290800662441206,0.03442072069985086,0.02601864754758589,0,0.012206931487188146
Dameon Pierce,RB,HOU,0,2,0,0,0.46272452467087094,0.4423348087392426,0.4648884041041935,0.042082095493036785,0.04590590699952403,0.0385823019305321,0.03635674553443161,0,0.014201809559992683
Jacob Harris,WR,JAC,0,1,0,0,0,0,0,0.0075532850764401804,0.009111352489585703,0.008743051695054153,0.007720244587045466,0,0.012917387817130314
Ryan Tannehill,QB,TEN,0,2,0,0,0.0796325402642058,0.08305459315547585,0.14336422510215036,0,0,0,0,1.5219058050383354,0
Ben Skowronek,WR,LAR,0,2,0,0,0,0,0,0.09124483415907815,0.08407025358049089,0.07803397832031037,0.07275607486548713,0,0.012056228629321626
Devin Duvernay,WR,BAL,0,2,0,0,0.021862059529628886,0.02182346098301741,0.04533948620933683,0.08124188037153689,0.08000668870582937,0.08766017845361142,0.08364069769123002,0,0.01352913447873134
Kylen Granson,TE,IND,0,2,0,0,0.0010811180858490473,5.050229199975463e-4,9.690858657276838e-4,0.06174630393297859,0.06684639566988951,0.07326186072321057,0.05762754513921733,0,0.01389512713355003
Jonathan Taylor,RB,IND,0,2,0,0,0.29776773499043047,0.31644620284092134,0.33399406502827594,0.0765781772006625,0.08040549497118729,0.07366368388815633,0.07089428940505134,0,0.01318101228418253
Myles Gaskin,RB,MIN,0,1,0,0,0.07393532330449495,0.06961489690423907,0.06572644745931681,0.017123914984716635,0.019510011141593182,0.01609699762391551,0.017614868321320188,0,0.012615982101397274
Jacob Hollister,TE,LV,0,1,0,0,0,0,0,0.006456600039264716,0.006755829290015392,0.006219604648892365,0.00649814639785484,0,0.012917387817130314
Damien Williams,RB,LV,0,1,0,0,0.07452032038089197,0.07468304211037322,0.06660330201441858,0.025841385237930628,0.027625933948648373,0.02403937915800469,0.02949883186365136,0,0.01287432985773988
Marquise Goodwin,WR,CLE,0,2,0,0,0,0,0,0.06719558527469498,0.05922727024114873,0.0640212031402031,0.060670910744446076,0,0.012293047405969015
Derek Carr,QB,NO,0,2,0,0,0.03925685488136883,0.04815329801048817,0.033005077006362536,0,0,0,0,1.5673603504928808,0
DeAndre Hopkins,WR,TEN,0,2,0,0,0,0,0,0.173806573539321,0.16013492837804866,0.163994052090881,0.17102358806869708,0,0.014872866449969747
Jonnu Smith,TE,ATL,0,2,0,0,3.15073024146844e-4,7.252418412649925e-4,6.691708539016107e-4,0.07018108255768322,0.0736726162079056,0.06951635292549645,0.061491003109988174,0,0.013981243052330899
Will Dissly,TE,SEA,0,2,0,0,0,0,0,0.04569346384931328,0.04836961049080289,0.0543500274143754,0.04597112215857334,0,0.01218540250749293
Tua Tagovailoa,QB,MIA,0,2,0,0,0.04041521701537576,0.02971565172008584,0.027990595482691758,0,0,0,0,1.6128148959474262,0
Antonio Gibson,RB,WAS,0,2,0,0,0.1718703006537426,0.1397884662250341,0.2453413948597516,0.0965806529439771,0.09780146815829915,0.08449616587958395,0.08432330141616451,0,0.010385903443229628
Travis Homer,RB,CHI,0,2,0,0,0,0.006954448233757215,0.007051199851284209,0.037233117345057555,0.04005028842359119,0.03814790650678539,0.03447385330468898,0,0.01383054019446438
Greg Dulcich,TE,DEN,0,2,0,0,0,0,0,0.10842907527776455,0.1012468310289161,0.09427282493158322,0.16697059370637451,0,0.012206931487188146
Zander Horvath,RB,LAC,0,1,0,0,9.306519814173257e-4,8.921956099427393e-4,8.745276030015723e-4,0.002534215843952336,0.0026159578364714224,0.0021514904905216205,0.0026074763042154975,0,0.01272362699987336
Phillip Dorsett,WR,DEN,0,2,0,0,0,0,0,0.06538393496320635,0.06439972623465808,0.062319290500000776,0.05439598784343984,0,0.012486808223225971
Robbie Anderson,WR,MIA,0,2,0,0,0,0,0,0.03905116082813108,0.03590626271594998,0.038339703477100216,0.03409691472840979,0,0.014153474889892638
James Conner,RB,ARI,0,2,0,0,0.3878587817488483,0.45751018236796076,0.5135956788921394,0.08402424355119899,0.09642844987758299,0.09312808825162928,0.07920698108358462,0,0.012987251466925576
Cedrick Wilson,WR,MIA,0,2,0,0,8.667017040863375e-5,1.296309602357571e-4,1.2606308733163228e-4,0.037058912928001064,0.03866922268372449,0.03947516844003342,0.038005578822335365,0,0.012637511081092491
Qadree Ollison,RB,JAC,0,1,0,0,0.04682090058279558,0.048003489082793345,0.04781619255981903,0.015361716658728325,0.015253313105823943,0.010746280955205585,0.013306365080256507,0,0.012917387817130314
Kendall Hinton,WR,DEN,0,2,0,0,0.019618923843607597,0.0021799057791984143,0.008204535969197334,0.06018977812793905,0.055695004329421406,0.05394501057609345,0.04760152464115625,0,0.012379163324749884
Daniel Jones,QB,NYG,0,2,0,0,0.24224219821593457,0.3054095231021093,0.40640786073704527,0,0,0,0,1.6582694414019716,0
Jordan Love,QB,GB,0,2,0,0,0.01289382381980924,0,0.0037424462835549694,0,0,0,0,1.385542168674699,0
Justin Fields,QB,CHI,0,2,0,0,0.37342877244894196,0.38170130183726103,0.3137414243458381,0,0,0,0,2.112814895947426,0
Brian Robinson,RB,WAS,0,2,0,0,0.4552469649186249,0.4628813968632542,0.3123483146262724,0.03333759769029703,0.02893487729909769,0.02783203861283727,0.03210272523260845,0,0.01164351949568717
Skyy Moore,WR,KC,0,2,0,0,0.0070970290340212575,0.008374843781590072,0.006449890016134975,0.05527674211818665,0.05826560638119364,0.052574498590376856,0.045147166923469484,0,0.017379163324749883
Aaron Rodgers,QB,NYJ,0,2,0,0,0.06756152278236997,0.049956366527061,0.07189656502953784,0,0,0,0,1.7491785323110625,0
Kirk Cousins,QB,MIN,0,2,0,0,0.10736309022841976,0.1366355444026665,0.10339013853012363,0,0,0,0,1.703723986856517,0
Russell Wilson,QB,DEN,0,2,0,0,0.17593806817758573,0.19081421157290823,0.25170721961607073,8.798723275409375e-4,8.878342823144159e-4,8.404625561957011e-4,8.079474211047397e-4,1.6582694414019716,0
Travis Kelce,TE,KC,0,2,0,0,2.3586735395707717e-4,2.529546190056206e-4,2.4065689518858185e-4,0.22277207747233835,0.2303254570170431,0.21396102598506794,0.19348029642698006,0,0.012172808757932654
Latavius Murray,RB,BUF,0,2,0,0,0.22306890636122062,0.23514085721610717,0.2808390468458236,0.04705901289935224,0.04917908692932558,0.03657291163924243,0.034171789815699065,0,0.010321316504143977
Brandon Bolden,RB,LV,0,1,0,0,0.06342072576355504,0.07215350710935724,0.05750297358534846,0.005079902788232883,0.005154455509226715,0.005136955724721422,0.005019024834048036,0,0.012357634345054666
Marvin Jones,WR,DET,0,2,0,0,0,0,0,0.12491596630606942,0.11379496103198816,0.11689854020635428,0.11023809908396999,0,0.011927054751150324
Randall Cobb,WR,NYJ,0,2,0,0,1.4620285573608273e-5,1.129494080479063e-5,1.5232826335411864e-5,0.07809430649832592,0.08340073327642061,0.07468238043690303,0.066581177466994,0,0.013852069174159596
Adam Thielen,WR,CAR,0,2,0,0,0.012635087017738916,0.014225081686782036,0.007584845155444353,0.1469170829525059,0.1352861884387255,0.13492694455876542,0.1914781521133957,0,0.011388830258769893
Taysom Hill,TE,NO,0,2,0,0,0.09099301350024737,0.0880592799329769,0.11579869456673314,0.02523664610262675,0.028129132083802046,0.020868814627502338,0.022030546377616568,0,0.013990178282465843
Geno Smith,QB,SEA,0,2,0,0,0.08476155225510765,0.13495463734894023,0.14113223647766948,0,0,0,0,1.7491785323110625,0
Cordarrelle Patterson,RB,ATL,0,2,0,0,0.0942566838656743,0.08785430666202666,0.19943142847578127,0.08059861753932568,0.0827257681483274,0.06127382530766421,0.07176694709883746,0,0.011031772834086144
Logan Thomas,TE,WAS,0,2,0,0,0,0,0,0.13570201465922227,0.1471577145290318,0.12910821854190282,0.12191598082884436,0,0.012077757609016844
Blake Bell,TE,KC,0,2,0,0,0.0029220637207061566,0.001880851037068064,0.0021995911162512225,0.022073288432585665,0.02436882557679079,0.020338623414654085,0.024377936728339277,0,0.01287432985773988
