player,team,pos,fpts_pred,fpts_fpros,fpts,rank,bye,pos_rank,RLB,PAR,PAR_PG,PAR Value,A,E,C,EC,Estimated Cost,Team ,Cost,,,,PAR Value Sum,Players Drafted,Total $,Inflation,,,RLB,RL_pg,A,B,C,,PAR_PPD,,,,
Jalen Milroe,SEA,NA,NA,24.7,NA,329,8,42,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Jared Wayne,HOU,NA,NA,NA,NA,330,6,108,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,73.2,3.4,15,331,11,41,85,-70,-4.118211981,0,55.4,-0.253,,0.002021361,1,,,,,,,,,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,62.8,47.9,50.3,332,12,93,85,-34.7,-2.038629335,0,0.0509,-3.9,73.9,176.7235947,1,,,,,,,,,,,,,,,,,,,,,,
Mac Dalena,NA,NA,NA,NA,NA,333,NA,109,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Baylor Cupp,NA,NA,NA,NA,NA,334,NA,42,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
DeWayne McBride,NA,RB,NA,NA,NA,335,NA,94,85,#VALUE!,#VALUE!,#VALUE!,0.0509,-3.9,73.9,183.2801508,1,,,,,,,,,,,,,,,,,,,,,,
D J Montgomery,IND,WR,14,0,2.3,336,11,110,85,-82.7,-4.8632209,0,57.8,-0.0643,,0.05717864,1,,,,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,53.8,44.3,45.9,337,14,111,85,-39.1,-2.30081451,0,57.8,-0.0643,,0.053617763,1,,,,,,,,,,,,,,,,,,,,,,
Deontay Burnett,NA,NA,NA,NA,NA,338,NA,112,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Ryan Jones,NA,NA,NA,NA,NA,340,NA,43,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Xavier Restrepo,TEN,NA,NA,12.2,NA,341,10,113,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,20.2,38.7,35.6,344,12,45,85,-49.4,-2.904592466,0,55.4,-0.253,,0.000734747,1,,,,,,,,,,,,,,,,,,,,,,
Geordon Porter,NA,NA,NA,NA,NA,346,NA,114,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
John Samuel Shenker,NA,TE,NA,NA,NA,348,NA,46,85,#VALUE!,#VALUE!,#VALUE!,55.4,-0.253,,0.000570508,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Cole Beck,NA,NA,NA,NA,NA,349,NA,115,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,78,60.7,63.6,350,5,116,85,-21.4,-1.259239628,0,57.8,-0.0643,,0.038876129,1,,,,,,,,,,,,,,,,,,,,,,
Jason Huntley,NA,RB,NA,NA,NA,351,NA,95,85,#VALUE!,#VALUE!,#VALUE!,0.0509,-3.9,73.9,189.9555075,1,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,LAR,WR,20.7,72.6,64,352,8,117,85,-21,-1.238037433,0,57.8,-0.0643,,0.036455065,1,,,,,,,,,,,,,,,,,,,,,,
Blake Whiteheart,CLE,TE,10.8,17,16,353,9,47,85,-69,-4.059558896,0,55.4,-0.253,,0.000442981,1,,,,,,,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,6.7,35.4,30.6,354,12,48,85,-54.4,-3.199248705,0,55.4,-0.253,,0.00034396,1,,,,,,,,,,,,,,,,,,,,,,
Nolan Henderson,NA,NA,NA,NA,NA,355,NA,43,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Easop Winston,NA,WR,NA,NA,NA,357,NA,118,85,#VALUE!,#VALUE!,#VALUE!,57.8,-0.0643,,0.034184776,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,NO,WR,91.4,61.6,66.5,358,11,119,85,-18.5,-1.08676303,0,57.8,-0.0643,,0.032055873,1,,,,,,,,,,,,,,,,,,,,,,
Jjay Mcafee,NA,NA,NA,NA,NA,359,NA,49,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Noah Fant,CIN,TE,101.2,71.1,76.1,360,10,50,85,-8.9,-0.522582862,0,55.4,-0.253,,0.000207375,1,,,,,,,,,,,,,,,,,,,,,,
Audric Estime,NA,NA,NA,NA,NA,361,NA,96,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Holton Ahlers,NA,NA,NA,NA,NA,362,NA,44,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Chris Streveler,NA,NA,NA,NA,NA,363,NA,45,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,75.9,78.2,77.8,364,10,120,85,-7.2,-0.421960124,0,57.8,-0.0643,,0.03005955,1,,,,,,,,,,,,,,,,,,,,,,
Curtis Hodges,NA,NA,NA,NA,NA,365,NA,51,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Snoop Conner,NA,RB,NA,NA,NA,366,NA,97,85,#VALUE!,#VALUE!,#VALUE!,0.0509,-3.9,73.9,203.6626227,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Burns,NYG,IDP,26,,,,,26,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reed Blankenship,PHI,IDP,27,,,,,27,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.J. Speed,IND,IDP,28,,,,,28,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Bosa,SF,IDP,29,,,,,29,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Witherspoon,SEA,IDP,30,,,,,30,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Brooks,,RB,31,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,,WR,32,,,,,,85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Jones,,IDP,33,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Simmons,,IDP,34,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood Brown,,WR,35,,,,,,85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Dorsey,,IDP,36,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Echols,,IDP,37,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chauncey Golsten,,IDP,38,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Reeves Maybin,,IDP,39,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Singleton,,IDP,40,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Wilson,,IDP,41,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,,IDP,42,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Bolton,,IDP,43,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamu Grubier Hill,,IDP,44,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeke Turner,,IDP,45,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keisean Nixon,,IDP,46,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Rodriguez,,IDP,47,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylinn Hawkins,,IDP,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
