"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"126","Xavier Hutchinson (HOU)","6","11","48","8.0","13","0","0","0","0","0","0","6","7.8","1.3","0.1%"
"127","Jahan Dotson (PHI)","5","8","51","10.2","27","1","0","0","0","0","0","8","7.6","1.0","0.6%"
"128","Odell Beckham Jr. (FA)","6","12","40","6.7","11","0","0","0","0","0","0","5","7.0","1.4","0.2%"
"129","Johnny Wilson (PHI)","1","4","5","5.0","5","0","1","0","0","0","0","7","7.0","1.0","0.1%"
"130","Allen Lazard (NYJ)","4","13","47","11.8","18","0","0","0","0","0","0","4","6.7","1.7","0.8%"
"131","Trey Palmer (NO)","3","7","49","16.3","27","1","0","0","0","0","0","7","6.4","0.9","0.1%"
"132","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","7","6.0","0.9","0.0%"
"133","Terrace Marshall Jr. (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","5","5.6","1.1","0.0%"
"134","Tyler Johnson (NYJ)","4","6","36","9.0","11","0","0","0","0","0","0","3","5.6","1.9","0.0%"
"135","Mecole Hardman Jr. (GB)","3","4","15","5.0","12","0","0","3","24","0","0","4","5.4","1.4","0.0%"
"136","Scotty Miller (PIT)","3","5","38","12.7","21","1","0","0","0","0","0","5","5.3","1.1","0.1%"
"137","Dan Chisena (FA)","3","4","37","12.3","23","1","0","0","0","0","0","5","5.2","1.0","0.0%"
"138","Bo Melton (GB)","3","6","18","6.0","13","0","0","2","19","0","0","7","5.2","0.7","0.0%"
"139","Zay Jones (ARI)","3","4","35","11.7","19","0","0","0","0","0","0","7","5.0","0.7","0.1%"
"140","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","1","9","0","0","4","4.9","1.2","0.0%"
"141","Brandon Powell (FA)","3","3","33","11.0","13","0","0","0","0","0","0","8","4.8","0.6","0.0%"
"142","Trent Sherfield Sr. (DEN)","3","3","33","11.0","16","0","0","0","0","0","0","6","4.8","0.8","0.1%"
"143","KhaDarel Hodge (ATL)","3","6","31","10.3","18","0","0","0","0","0","0","6","4.6","0.8","0.1%"
"144","River Cracraft (FA)","3","5","28","9.3","16","0","0","0","0","0","0","4","4.3","1.1","0.0%"
"145","Kalif Raymond (DET)","2","3","30","15.0","21","1","0","0","0","0","0","3","4.0","1.3","0.1%"
"146","DJ Chark Jr. (FA)","3","7","25","8.3","12","0","0","0","0","0","0","3","4.0","1.3","0.0%"
"147","Allen Robinson II (FA)","2","4","28","14.0","21","1","0","0","0","0","0","3","3.8","1.3","0.0%"
"148","Jake Bobo (SEA)","3","3","22","7.3","8","0","0","0","0","0","0","7","3.7","0.5","0.2%"
"149","Jonathan Mingo (DAL)","3","14","22","7.3","12","0","0","0","0","0","0","7","3.7","0.5","0.1%"
"150","Jamari Thrash (CLE)","3","6","22","7.3","11","0","0","0","0","0","0","6","3.7","0.6","0.2%"
"151","Jalen Reagor (LAC)","3","7","24","8.0","11","0","0","2","-2","0","0","5","3.7","0.7","0.0%"
"152","Gabe Davis (FA)","2","7","22","11.0","19","0","0","0","0","0","0","2","3.2","1.6","0.6%"
"153","Malachi Corley (CLE)","2","5","12","6.0","10","0","0","1","8","0","0","3","3.0","1.0","0.1%"
"154","Jermaine Burton (CIN)","2","9","19","9.5","11","0","0","0","0","0","0","7","2.9","0.4","0.2%"
"155","Anthony Gould (IND)","1","1","23","23.0","23","1","0","0","0","0","0","4","2.8","0.7","0.0%"
"156","Mason Kinsey (TEN)","2","2","17","8.5","11","0","0","0","0","0","0","4","2.7","0.7","0.0%"
