player,team,Position,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
Tee Higgins,CIN,WR,14,14,0,0,0,0,0,0,0,7.857142857142857,5.285714285714286,77.92857142857143,0.42857142857142855,0,0.07142857142857142,0.0427689594356261,5.357142857142857,0.0079835390946502
Jimmy Garoppolo,SF,QB,15,15,20.066666666666663,29.4,254,1.3333333333333333,2.533333333333333,3.4,0.2,0,0,0,0,0.8,0.5333333333333333,0.2193415637860082,2.6,0.08436213991769546
Melvin Gordon,DEN,RB,16,16,0,0,0,0,12.6875,57.375,0.5,2.375,1.75,13.3125,0.125,0,0.1875,0.1122685185185185,14.5,0.007742656449553
Darren Waller,LV,TE,11,11,0,0,0,0,0,0,0,8.454545454545455,5,60.45454545454545,0.18181818181818185,0,0,0,5.090909090909091,0
Javonte Williams,DEN,RB,17,1,0,0,0,0,11.941176470588236,53.11764705882353,0.2352941176470588,3.1176470588235294,2.5294117647058822,18.58823529411765,0.17647058823529413,0,0.1176470588235294,0.05279593318809005,14.529411764705882,0.0036337281951317
D J Moore,CAR,WR,17,17,0,0,0,0,0.4705882352941176,2.823529411764706,0,9.588235294117649,5.470588235294118,68.05882352941177,0.2352941176470588,0,0.0588235294117647,0.03522149600580973,6,0.00587024933430162
Mac Jones,NE,QB,17,17,20.705882352941178,30.647058823529413,223.58823529411765,1.2941176470588236,2.588235294117647,7.588235294117647,0,0,0,0,0,0.7647058823529411,0.4117647058823529,0.17596223674655043,2.6470588235294117,0.06647462277091906
Tyler Conklin,MIN,TE,17,15,0,0,0,0,0,0,0,5.117647058823529,3.588235294117647,34.88235294117647,0.17647058823529413,0,0.0588235294117647,0.01757443718228031,3.647058823529412,0.00481879729191557
Devin Singletary,BUF,RB,17,16,0,0,0,0,11.058823529411764,51.1764705882353,0.4117647058823529,2.9411764705882355,2.3529411764705883,13.411764705882351,0.0588235294117647,0,0.29411764705882354,0.0878721859114016,13.470588235294118,0.00652326270958003
Chris Godwin,TB,WR,14,14,0,0,0,0,0.2857142857142857,1.5,0.07142857142857142,9.071428571428571,7,78.78571428571429,0.35714285714285715,0,0.14285714285714285,0.0855379188712522,7.357142857142857,0.01162651324463622
