Rk,Season,Team,Cmp,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Att,Yds,Y/A,TD
84,2012,NWE,402,369,415,16,12,4,0,.750,557,331,226,402,641,239,62.7,4662,34,9,5.3,1.4,97.7,27,182,4.04,7.3,6.98,7.70,7.39,11.6,369,594,62.1,4342,27,37,213,20,86.9,415,1630,3.9,10
85,2011,NWE,402,386,405,16,13,3,0,.813,513,342,171,402,612,210,65.7,5084,39,12,6.4,2.0,105.7,32,173,4.97,8.3,7.89,8.70,8.27,12.6,386,619,62.4,4703,26,40,274,23,86.1,405,1874,4.6,13
86,2009,IND,402,372,467,16,14,2,0,.875,416,307,109,402,601,199,66.9,4515,34,19,5.7,3.2,95.4,13,90,2.12,7.5,7.35,7.22,7.07,11.2,372,583,63.8,3403,19,34,228,16,80.6,467,2024,4.3,10
87,2024,DET,399,373,369,17,15,2,0,.882,564,342,222,399,551,152,72.4,4474,39,12,7.1,2.2,112.6,33,244,5.65,8.1,7.66,8.56,8.07,11.2,373,610,61.1,4148,18,37,256,16,82.0,369,1672,4.5,18
88,2022,SEA,399,343,525,17,9,8,0,.529,407,401,6,399,573,174,69.6,3934,30,12,5.2,2.1,100.0,46,348,7.43,6.9,6.36,6.97,6.45,9.9,343,547,62.7,3595,23,45,296,14,87.3,525,2554,4.9,21
89,2014,DEN,399,399,349,16,12,4,0,.750,482,354,128,399,607,208,65.7,4661,40,15,6.6,2.5,101.3,17,118,2.72,7.7,7.47,7.88,7.67,11.7,399,641,62.2,3607,29,41,252,18,82.4,349,1276,3.7,9
90,2009,HOU,399,344,396,16,9,7,0,.563,388,333,55,399,593,194,67.3,4654,29,17,4.9,2.9,96.3,25,149,4.05,7.8,7.53,7.54,7.23,11.7,344,548,62.8,3487,19,30,187,14,83.2,396,1711,4.3,17
91,2024,DAL,398,349,482,17,7,10,0,.412,350,468,-118,398,637,239,62.5,3862,23,14,3.6,2.2,83.8,38,230,5.63,6.1,5.72,5.80,5.47,9.7,349,512,68.2,3708,28,52,337,13,99.5,482,2331,4.8,25
92,2022,IND,398,365,511,17,4,12,1,.265,289,427,-138,398,604,206,65.9,3432,17,20,2.8,3.3,79.2,60,422,9.04,5.7,5.17,4.75,4.33,8.6,365,537,68.0,3569,25,44,267,10,96.2,511,2109,4.1,20
93,2021,MIN,398,401,475,17,8,9,0,.471,425,426,-1,398,604,206,65.9,4238,34,7,5.6,1.2,101.6,30,212,4.73,7.0,6.68,7.62,7.26,10.6,401,626,64.1,4300,29,51,378,16,91.4,475,2222,4.7,15
94,2019,LAR,397,348,444,16,9,7,0,.563,394,364,30,397,632,235,62.8,4499,22,17,3.5,2.7,85.6,22,170,3.36,7.1,6.88,6.60,6.38,11.3,348,562,61.9,3625,23,50,303,13,86.8,444,1809,4.1,15
95,2021,DET,396,359,518,17,3,13,1,.206,325,467,-142,396,593,197,66.8,3598,23,14,3.9,2.4,88.1,36,286,5.72,6.1,5.72,5.78,5.45,9.1,359,544,66.0,4160,31,30,201,11,101.0,518,2296,4.4,19
96,2021,BAL,396,397,378,17,8,9,0,.471,387,392,-5,396,611,215,64.8,3961,21,18,3.4,2.9,84.4,57,306,8.53,6.5,5.93,5.84,5.35,10.0,397,621,63.9,4742,31,34,244,9,99.4,378,1436,3.8,13
97,2014,CHI,396,366,421,16,5,11,0,.313,319,442,-123,396,609,213,65.0,3792,30,19,4.9,3.1,87.3,41,243,6.31,6.2,5.83,5.81,5.44,9.6,366,548,66.8,4230,34,39,228,14,101.7,421,1803,4.3,12
98,2024,CLE,395,316,488,17,3,14,0,.176,258,435,-177,395,661,266,59.8,3506,19,23,2.9,3.5,71.4,66,373,9.08,5.3,4.82,4.31,3.92,8.9,316,511,61.8,3611,26,41,267,4,98.9,488,2205,4.5,22
99,2022,JAX,394,385,470,17,9,8,0,.529,404,350,54,394,596,202,66.1,3959,25,9,4.2,1.5,93.9,28,189,4.49,6.6,6.34,6.80,6.50,10.0,385,601,64.1,4055,25,35,203,14,89.1,470,1951,4.2,14
100,2019,LAC,394,328,429,16,5,11,0,.313,337,345,-8,394,597,203,66.0,4426,24,20,4.0,3.4,89.0,34,222,5.39,7.4,7.01,6.71,6.35,11.2,328,464,70.7,3204,21,30,190,11,96.7,429,1805,4.2,15
101,2014,MIA,394,338,453,16,8,8,0,.500,388,373,15,394,595,201,66.2,3729,27,12,4.5,2.0,92.5,46,337,7.18,6.3,5.82,6.27,5.82,9.5,338,537,62.9,3557,27,39,211,14,89.7,453,1937,4.3,13
102,2023,MIA,393,380,433,17,11,6,0,.647,496,391,105,393,566,173,69.4,4514,30,15,5.3,2.7,101.2,31,184,5.19,8.0,7.56,7.84,7.44,11.5,380,568,66.9,3761,27,56,371,15,93.0,433,1650,3.8,15
103,2008,IND,393,329,472,16,12,4,0,.750,377,298,79,393,585,192,67.2,4094,27,12,4.6,2.1,94.7,14,86,2.34,7.0,6.83,7.00,6.83,10.4,329,481,68.4,3009,6,30,200,15,78.0,472,1966,4.2,18
104,2020,LAR,392,347,388,16,10,6,0,.625,372,296,76,392,590,198,66.4,4014,20,14,3.4,2.4,88.4,25,169,4.07,6.8,6.53,6.41,6.15,10.2,347,548,63.3,3051,17,53,350,14,80.4,388,1460,3.8,12
105,2018,GNB,392,336,446,16,6,9,1,.406,376,400,-24,392,640,248,61.3,4238,25,4,3.9,0.6,93.7,53,391,7.65,6.6,6.12,7.12,6.58,10.8,336,527,63.8,3752,30,44,322,7,100.9,446,1918,4.3,15
106,2015,NYG,392,423,444,16,6,10,0,.375,420,442,-22,392,623,231,62.9,4343,36,14,5.8,2.2,94.5,27,157,4.15,7.0,6.68,7.12,6.82,11.1,423,638,66.3,4783,31,23,137,15,95.9,444,1942,4.4,15
107,2014,NWE,392,342,419,16,12,4,0,.750,468,313,155,392,609,217,64.4,4121,34,9,5.6,1.5,97.5,26,170,4.09,6.8,6.49,7.22,6.92,10.5,342,574,59.6,3837,24,40,282,16,84.0,419,1669,4.0,6
