player,team,py_games_played,games_played,pas_att_rat,cmp_rat,pas_yds_rat,pas_tds_rat,int_rat
Jarrett Stidham,LV,0,1,20.91389900919477,9.512209064320862,151.9576290423927,0.5652700086209809,0.9652700086209808
Bailey Zappe,NE,0,4,19.31994004153598,10.037055452771371,161.20251124880772,0.7037879398539634,0.9294129398539632
Cooper Rush,DAL,1.8,6,25.462796248675357,15.541513201884124,212.69945629801404,1.4468937761030634,0.6295800506128673
Teddy Bridgewater,MIA,14.000000000000002,2,32.940043261011034,22.215057050704555,254.52004106919787,1.3927827958945476,0.6070685101802619
Feleipe Franks,ATL,1.8,1,17.550392757503197,7.720539962747268,133.4208909115493,0.561107959444018,0.961107959444018
Brian Hoyer,NE,1,1,19.639889096282374,9.085459176212412,223.35754973473792,0.9697896437809516,0.9697896437809516
Jameis Winston,NO,7.000000000000001,3,27.51338535422028,16.74576208765988,208.66402931444296,1.9141735637005008,0.36254891384055665
Joe Flacco,NYJ,1.2000000000000002,3,43.14756071746675,27.02624862702458,310.7055848439111,2.504980391939074,0.8366274507626044
Trey Lance,SF,2.8000000000000003,2,24.779016370958132,13.434487721418254,201.62229462948343,1.5982463160361835,0.9121496773807216
Case Keenum,BUF,3,1,22.76316399846184,14.585425441439805,142.11667839137,0.9529637508287232,0.9529637508287232
Ben Roethlisberger,PIT,16,0,37.8125,24.375,233.75,1.375,0.625
Cam Newton,CAR,5.6,0,22.5,12.321428571428571,122.14285714285715,0.7142857142857143,0.8928571428571429
Tyrod Taylor,HOU,6.000000000000001,0,24.999999999999996,15.166666666666664,160.99999999999997,0.8333333333333333,0.8333333333333333
Drew Lock,DEN,3.6000000000000005,0,30.83333333333333,18.611111111111107,218.6111111111111,0.6,1
Josh Johnson,2TM,1.6,0,53.125,35.625,398.75,3.125,1.25
Mike Glennon,NYG,4.4,0,37.95454545454545,20.454545454545453,179.54545454545453,0.9090909090909092,2.2727272727272725
Tim Boyle,DET,3.4000000000000004,0,27.64705882352941,17.941176470588232,154.70588235294116,0.8823529411764705,1.764705882352941
Mason Rudolph,PIT,1.2000000000000002,0,48.33333333333333,29.16666666666666,230.8333333333333,0.8333333333333333,1
Sean Mannion,MIN,1,0,36,22,189,1,1
Jake Fromm,NYG,2.2,0,27.27272727272727,12.272727272727272,150,0.6,1.3636363636363635
Garrett Gilbert,WAS,1,0,31,20,194,0.6,1
Chad Henne,KC,0.8,0,20,13.75,150,0.6,1
Ian Book,NO,1,0,20,12,150,0.6,2
Blaine Gabbert,TB,1.2000000000000002,0,20,9,150,0.6,1
C J Beathard,JAC,0.4,0,20,9,150,0.6,1
Ryan Fitzpatrick,WAS,1,0,20,9,150,0.6,1
David Blough,DET,0.2,0,20,9,150,0.6,1
Kellen Mond,MIN,0.2,0,20,10,150,0.6,1
Nathan Peterman,LV,0.2,0,20,9,150,0.6,1
Kurt Benkert,GB,0.2,0,20,9,150,0.6,1
Chase Daniel,LAC,0.2,0,20,9,150,0.6,1
Davis Webb,BUF,0.2,0,20,9,150,0.6,1
Logan Woodside,TEN,1,0,20,9,150,0.6,1
Jacob Eason,IND,0.2,0,25,10,150,0.6,5
Josh Rosen,ATL,0.8,0,20,9,150,0.6,2.5
Nate Sudfeld,NA,NA,NA,NA,NA,NA,NA,NA
