Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
237,Rico Dowdle,1.6,0,0,0,0,0,Sun,2,2,2022-09-18,24-096,DAL,,CIN,W 20-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,1.6,0,0.0,18,69.2,RB,DowdRi01
238,Alexander Mattison,31.1,0,2,5,0,0,Mon,2,2,2022-09-19,24-092,MIN,@,PHI,L 7-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,8,4.0,0,0,0.0,5,3,6,2.0,0,60.0,1.2,1,20.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,19,31.1,0,0.0,4,19.0,RB,MattAl01
239,Antonio Gibson,54.1,0,14,4,0,0,Sun,2,2,2022-09-18,24-087,WAS,@,DET,L 27-36,0,0,0,,0,0,0,0,,,,0,0,,,,,,,14,28,2.0,1,1,35.7,4,2,13,6.5,0,50.0,3.3,1,25.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,40,54.1,0,0.0,0,0.0,RB,GibsAn00
240,Chase Claypool,91.5,0,0,6,0,0,Sun,2,2,2022-09-18,24-073,PIT,,NWE,L 14-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,4,26,6.5,0,66.7,4.3,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0,WR,ClayCh01
241,Avery Williams,24.6,0,0,1,0,0,Sun,2,2,2022-09-18,24-065,ATL,@,LAR,L 27-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,1,6,6.0,0,100.0,6.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,15,24.6,1,1.6,19,82.6,RB,WillAv02
242,Demetric Felton,17.9,0,1,1,0,0,Sun,2,2,2022-09-18,24-064,CLE,,NYJ,L 30-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,-4,-4.0,0,,0.0,1,1,3,3.0,0,100.0,3.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,12,17.9,0,0.0,11,36.7,WR,FeltDe00
243,Jalen Hurts,100.0,31,11,0,0,1,Mon,2,2,2022-09-19,24-043,PHI,,MIN,W 24-7,26,31,5,83.9,333,1,1,0,3.2,3.2,108.7,3,10,8.82,10.7,9.94,8.76,12.8,58.8,11,57,5.2,2,3,45.5,0,0,0,,0,,,0,,2,0,0,,0,0,,0,0,12,1,0,0,0,0,73,100.0,0,0.0,0,0.0,QB,HurtJa00
244,Dezmon Patmon,48.0,0,0,6,0,0,Sun,2,2,2022-09-18,24-043,IND,@,JAX,L 0-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,2,24,12.0,0,33.3,4.0,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,24,48.0,0,0.0,0,0.0,WR,PatmDe00
245,Travis Homer,44.9,0,2,4,0,0,Sun,2,2,2022-09-18,24-042,SEA,@,SFO,L 7-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,9,4.5,0,2,100.0,4,4,33,8.3,0,100.0,8.3,2,75.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,44.9,0,0.0,16,69.6,RB,HomeTr00
246,Irv Smith Jr.,55.7,0,0,8,0,0,Mon,2,2,2022-09-19,24-041,MIN,@,PHI,L 7-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,5,36,7.2,1,62.5,4.5,3,50.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,34,55.7,0,0.0,0,0.0,TE,SmitIr01
247,James Robinson,63.4,0,23,2,0,0,Sun,2,2,2022-09-18,24-040,JAX,,IND,W 24-0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,23,64,2.8,1,5,26.1,2,2,14,7.0,0,100.0,7.0,1,50.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,45,63.4,0,0.0,0,0.0,RB,RobiJa00
248,Mac Jones,100.0,35,7,0,0,0,Sun,2,2,2022-09-18,24-013,NWE,@,PIT,W 17-14,21,35,14,60.0,252,1,1,0,2.9,2.9,79.7,0,0,0.00,7.2,6.49,6.49,12.0,48.6,7,6,0.9,0,2,42.9,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0,QB,JoneMa05
249,Caleb Huntley,4.9,0,1,0,0,0,Sun,2,2,2022-09-18,24-003,ATL,@,LAR,L 27-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,3,3.0,0,,0.0,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,3,4.9,0,0.0,0,0.0,RB,HuntCa02
250,DeeJay Dallas,4.1,1,0,0,0,0,Sun,2,2,2022-09-18,24-002,SEA,@,SFO,L 7-27,0,1,1,0.0,0,0,1,0,0.0,100.0,0.0,0,0,0.00,0.0,-45.00,-45.00,,0.0,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,4.1,0,0.0,16,69.6,RB,DallDe00
251,Davis Mills,95.2,38,2,0,0,2,Sun,2,2,2022-09-18,23-332,HOU,@,DEN,L 9-16,19,38,19,50.0,177,0,0,0,0.0,0.0,63.2,3,23,7.32,4.7,4.66,3.76,9.3,31.7,2,1,0.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,2,0,0,0,0,60,95.2,0,0.0,0,0.0,QB,MillDa02
252,Pat Freiermuth,81.4,0,0,7,0,0,Sun,2,2,2022-09-18,23-328,PIT,,NWE,L 14-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,4,22,5.5,1,57.1,3.1,1,57.1,1,0,0,,0,0,,0,0,6,0,0,0,0,0,48,81.4,0,0.0,2,9.1,TE,FreiPa00
253,Shi Smith,70.7,0,0,6,0,0,Sun,2,2,2022-09-18,23-327,CAR,@,NYG,L 16-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,6,1,2,2.0,0,16.7,0.3,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,41,70.7,0,0.0,5,16.7,WR,SmitSh03
254,Kenny Yeboah,2.9,0,0,0,0,0,Sun,2,2,2022-09-18,23-323,NYJ,@,CLE,W 31-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,2.9,0,0.0,23,76.7,TE,YeboKe00
255,Jaylen Warren,28.8,0,4,1,0,0,Sun,2,2,2022-09-18,23-321,PIT,,NWE,L 14-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,4,15,3.8,0,1,50.0,1,1,0,0.0,0,100.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,17,28.8,0,0.0,8,36.4,RB,WarrJa01
256,Bryan Edwards,26.2,0,0,2,0,0,Sun,2,2,2022-09-18,23-309,ATL,@,LAR,L 27-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,1,2,2.0,0,50.0,1.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,16,26.2,0,0.0,0,0.0,WR,EdwaBr01
257,DeVonta Smith,98.6,0,0,7,0,0,Mon,2,2,2022-09-19,23-309,PHI,,MIN,W 24-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,7,80,11.4,0,100.0,11.4,5,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,72,98.6,0,0.0,0,0.0,WR,SmitDe07
258,Jaylen Waddle,80.3,0,0,19,0,0,Sun,2,2,2022-09-18,23-297,MIA,@,BAL,W 42-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,19,11,171,15.5,2,57.9,9.0,9,47.4,2,0,0,,0,0,,0,0,12,0,0,0,0,0,57,80.3,0,0.0,0,0.0,WR,WaddJa00
259,Brock Wright,36.1,0,0,1,0,0,Sun,2,2,2022-09-18,23-295,DET,,WAS,W 36-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,25,25.0,0,100.0,25.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,36.1,0,0.0,12,37.5,TE,WrigBr01
260,Pierre Strong,4.4,0,0,0,0,0,Sun,2,2,2022-09-18,23-282,NWE,@,PIT,W 17-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,3,4.4,0,0.0,5,22.7,RB,StroPi00
261,Zander Horvath,10.7,0,0,2,0,0,Thu,2,2,2022-09-15,23-279,LAC,@,KAN,L 24-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,1,1.0,1,50.0,0.5,1,50.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,8,10.7,0,0.0,20,62.5,FB,HorvZa00
262,Jalen Reagor,16.4,0,1,2,0,0,Mon,2,2,2022-09-19,23-260,MIN,@,PHI,L 7-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,17,17.0,0,1,100.0,2,1,7,7.0,0,50.0,3.5,0,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,10,16.4,0,0.0,4,19.0,WR,ReagJa00
263,Rachaad White,13.4,0,2,2,0,0,Sun,2,2,2022-09-18,23-249,TAM,@,NOR,W 20-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,1,0.5,0,,0.0,2,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,9,13.4,0,0.0,10,38.5,RB,WhitRa01
264,Jaelon Darden,11.9,0,0,0,0,0,Sun,2,2,2022-09-18,23-247,TAM,@,NOR,W 20-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,8,11.9,0,0.0,5,19.2,WR,DardJa00
265,D'Andre Swift,50.8,0,5,5,0,0,Sun,2,2,2022-09-18,23-247,DET,,WAS,W 36-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,5,56,11.2,0,1,40.0,5,2,31,15.5,1,40.0,6.2,1,40.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,31,50.8,0,0.0,0,0.0,RB,SwifDA00
266,Tee Higgins,88.6,0,0,10,0,0,Sun,2,2,2022-09-18,23-243,CIN,@,DAL,L 17-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,6,71,11.8,1,60.0,7.1,5,50.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,62,88.6,0,0.0,0,0.0,WR,HiggTe00
267,Jonathan Taylor,74.0,0,9,1,0,0,Sun,2,2,2022-09-18,23-242,IND,@,JAX,L 0-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,9,54,6.0,0,3,33.3,1,1,9,9.0,0,100.0,9.0,0,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,74.0,0,0.0,0,0.0,RB,TaylJo02
268,Quintin Morris,41.2,0,0,1,0,0,Mon,2,2,2022-09-19,23-241,BUF,,TEN,W 41-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,1,6,6.0,0,100.0,6.0,,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,28,41.2,0,0.0,19,70.4,TE,MorrQu00
269,Connor Heyward,6.8,0,0,0,0,0,Sun,2,2,2022-09-18,23-239,PIT,,NWE,L 14-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,4,6.8,0,0.0,16,72.7,TE,HeywCo00
270,Travis Etienne,36.6,0,9,3,0,0,Sun,2,2,2022-09-18,23-235,JAX,,IND,W 24-0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,9,20,2.2,0,1,22.2,3,3,33,11.0,0,100.0,11.0,2,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,26,36.6,0,0.0,0,0.0,RB,EtieTr00
