,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,PAT,PAT,,FG,FG,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Fmb,FR,Yds,FRTD,FF,Pos.,-9999
38,CeeDee Lamb,97.1,0,0,11,0,0,Sun,1,1,2022-09-11,23-156,DAL,,TAM,L 3-19,0,0,,0,0,,11,2,29,14.5,0,18.2,2.6,2,18.2,67,97.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,LambCe00
39,Allen Robinson,97.0,0,0,2,0,0,Thu,1,1,2022-09-08,29-015,LAR,,BUF,L 10-31,0,0,,0,,,2,1,12,12.0,0,50.0,6.0,,0.0,65,97.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,RobiAl02
40,DeVonta Smith,96.1,0,0,4,0,0,Sun,1,1,2022-09-11,23-301,PHI,@,DET,W 38-35,0,0,,0,,,4,0,0,,0,0.0,0.0,,0.0,74,96.1,0,0.0,2,6.5,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,SmitDe07
41,Courtland Sutton,95.5,0,0,7,0,0,Mon,1,1,2022-09-12,26-337,DEN,@,SEA,L 16-17,0,0,,0,0,,7,4,72,18.0,0,57.1,10.3,3,57.1,63,95.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,SuttCo00
42,Marquise Brown,95.4,0,0,6,0,0,Sun,1,1,2022-09-11,25-099,ARI,,KAN,L 21-44,0,0,,0,0,,6,4,43,10.8,1,66.7,7.2,2,50.0,62,95.4,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,BrowMa04
43,Adam Thielen,95.2,0,0,4,0,0,Sun,1,1,2022-09-11,32-020,MIN,,GNB,W 23-7,0,0,,0,0,,4,3,36,12.0,0,75.0,9.0,2,50.0,59,95.2,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ThieAd00
44,Davante Adams,94.8,0,0,17,0,0,Sun,1,1,2022-09-11,29-261,LVR,@,LAC,L 19-24,0,0,,0,0,,17,10,141,14.1,1,58.8,8.3,8,58.8,55,94.8,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,1,10,100.00,,,-10.00,,0.0,0,0,0,0,0,WR,AdamDa01
45,Tyler Higbee,94.0,0,0,11,0,0,Thu,1,1,2022-09-08,29-250,LAR,,BUF,L 10-31,0,0,,0,0,,11,5,39,7.8,0,45.5,3.5,4,36.4,63,94.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,HigbTy00
46,Patrick Mahomes,92.9,39,3,0,0,1,Sun,1,1,2022-09-11,26-359,KAN,@,ARI,W 44-21,3,5,1.7,0,1,66.7,0,0,0,,0,,,0,,65,92.9,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,30,39,9,76.9,360,5,0,0,12.8,0.0,144.2,0,0,0.00,9.2,11.79,11.79,12.0,74.4,1,0,0,0,0,QB,MahoPa00
47,Mike Williams,92.5,0,0,4,0,0,Sun,1,1,2022-09-11,27-342,LAC,,LVR,W 24-19,0,0,,0,,,4,2,10,5.0,0,50.0,2.5,,50.0,62,92.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WillMi07
48,Dallas Goedert,92.2,0,0,4,0,0,Sun,1,1,2022-09-11,27-251,PHI,@,DET,W 38-35,0,0,,0,0,,4,3,60,20.0,0,75.0,15.0,3,75.0,71,92.2,0,0.0,2,6.5,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,GoedDa00
49,Chase Claypool,92.1,0,6,6,0,0,Sun,1,1,2022-09-11,24-066,PIT,@,CIN,W 23-20 (OT),6,36,6.0,0,2,33.3,6,4,18,4.5,0,66.7,3.0,1,50.0,58,92.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ClayCh01
