,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,,PAT,PAT,,FG,FG,,,,,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Fmb,FR,Yds,FRTD,FF,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
235,Avery Williams,30.7,0,2,1,0,0,Sun,1,1,2022-09-11,24-058,ATL,,NOR,L 26-27,2,7,3.5,0,,50.0,1,1,8,8.0,0,100.0,8.0,,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,23,30.7,0,0.0,16,50.0,RB,WillAv02
236,Chris Godwin,30.6,0,0,3,0,0,Sun,1,1,2022-09-11,26-196,TAM,@,DAL,W 19-3,0,0,,0,0,,3,3,35,11.7,0,100.0,11.7,1,66.7,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,19,30.6,0,0.0,0,0.0,WR,GodwCh00
237,Irv Smith Jr.,30.6,0,0,2,0,0,Sun,1,1,2022-09-11,24-033,MIN,,GNB,W 23-7,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,19,30.6,0,0.0,0,0.0,TE,SmitIr01
238,Jamison Crowder,30.5,0,0,4,0,0,Thu,1,1,2022-09-08,29-083,BUF,@,LAR,W 31-10,0,0,,0,0,,4,3,28,9.3,0,75.0,7.0,3,75.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,18,30.5,0,0.0,4,21.1,WR,CrowJa00
239,Eric Tomlinson,30.3,0,0,1,0,0,Mon,1,1,2022-09-12,30-143,DEN,@,SEA,L 16-17,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,20,30.3,0,0.0,0,0.0,TE,TomlEr01
240,Zach Gentry,30.2,0,0,2,0,0,Sun,1,1,2022-09-11,26-001,PIT,@,CIN,W 23-20 (OT),0,0,,0,0,,2,2,40,20.0,0,100.0,20.0,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,19,30.2,0,0.0,6,18.8,TE,GentZa00
241,Kenneth Gainwell,29.9,0,5,4,0,0,Sun,1,1,2022-09-11,23-181,PHI,@,DET,W 38-35,5,20,4.0,1,2,80.0,4,2,12,6.0,0,50.0,3.0,1,25.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,23,29.9,0,0.0,4,12.9,RB,GainKe00
242,Khalil Herbert,29.3,0,9,1,0,0,Sun,1,1,2022-09-11,24-143,CHI,,SFO,W 19-10,9,45,5.0,1,3,44.4,1,1,-2,-2.0,0,100.0,-2.0,0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,17,29.3,0,0.0,15,62.5,RB,HerbKh00
243,Drew Sample,29.0,0,0,1,0,0,Sun,1,1,2022-09-11,26-148,CIN,,PIT,L 20-23 (OT),0,0,,0,,,1,1,2,2.0,0,100.0,2.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,29,29.0,0,0.0,9,28.1,TE,SampDr00
244,Anthony Schwartz,28.8,0,2,2,0,0,Sun,1,1,2022-09-11,22-006,CLE,@,CAR,W 26-24,2,20,10.0,0,1,100.0,2,1,19,19.0,0,50.0,9.5,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,23,28.8,0,0.0,2,6.3,WR,SchwAn00
245,Dameon Pierce,28.6,0,11,1,0,0,Sun,1,1,2022-09-11,22-204,HOU,,IND,T 20-20 (OT),11,33,3.0,0,2,54.5,1,1,6,6.0,0,100.0,6.0,0,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,20,28.6,0,0.0,0,0.0,RB,PierDa01
246,Nyheim Hines,28.3,0,3,6,0,1,Sun,1,1,2022-09-11,25-303,IND,@,HOU,T 20-20 (OT),3,4,1.3,0,0,33.3,6,6,50,8.3,0,100.0,8.3,3,66.7,1,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,26,28.3,0,0.0,8,25.0,RB,HineNy00
247,Ross Dwelley,27.9,0,0,2,0,0,Sun,1,1,2022-09-11,27-228,SFO,@,CHI,L 10-19,0,0,,0,0,,2,1,11,11.0,0,50.0,5.5,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,19,27.9,0,0.0,19,79.2,TE,DwelRo00
248,Brandon Bolden,27.6,0,3,2,0,0,Sun,1,1,2022-09-11,32-228,LVR,@,LAC,L 19-24,3,7,2.3,0,0,33.3,2,2,21,10.5,1,100.0,10.5,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,16,27.6,0,0.0,13,54.2,RB,BoldBr00
