Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
41,Taylor Heinicke,15,3,0,0,1,100.0,Sun,11,11,2022-11-20,29-250,WAS,@,HOU,W 23-10,15,27,12,55.6,191,0,0,0,0.0,0.0,77.9,0,0,0.00,7.1,7.07,7.07,12.7,48.1,3,2,0.7,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,-9,0,0,68,100.0,0,0.0,0,0.0,QB,HeinTa00
42,DeAndre Carter,0,0,3,0,0,81.5,Sun,10,11,2022-11-20,29-224,LAC,,KAN,L 27-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,33,11.0,0,100.0,11.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,53,81.5,0,0.0,9,31.0,WR,CartDe02
43,Melvin Gordon,0,8,5,0,1,45.3,Sun,10,11,2022-11-20,29-221,DEN,,LVR,L 16-22 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,8,31,3.9,0,2,62.5,5,5,39,7.8,0,100.0,7.8,1,60.0,0,0,0,,0,0,,0,0,0,1,0,0,0,0,29,45.3,0,0.0,0,0.0,RB,GordMe00
44,Keelan Cole,0,0,2,0,0,66.7,Sun,10,11,2022-11-20,29-214,LVR,@,DEN,W 22-16 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,21,21.0,0,50.0,10.5,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,44,66.7,0,0.0,4,13.8,WR,ColeKe00
45,Nelson Agholor,0,0,3,0,0,58.7,Sun,10,11,2022-11-20,29-180,NWE,,NYJ,W 10-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,3,2,18,9.0,0,66.7,6.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,58.7,0,0.0,0,0.0,WR,AghoNe00
46,Ameer Abdullah,0,0,4,0,0,16.7,Sun,10,11,2022-11-20,29-160,LVR,@,DEN,W 22-16 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,4,3,5,1.7,0,75.0,1.3,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,11,16.7,0,0.0,15,51.7,RB,AbduAm00
47,Chris Moore,0,1,7,0,0,58.9,Sun,10,11,2022-11-20,29-157,HOU,,WAS,L 10-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,3,3.0,0,0,0.0,7,5,20,4.0,0,71.4,2.9,1,42.9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,33,58.9,0,0.0,1,3.7,WR,MoorCh00
48,Sammy Watkins,0,0,2,0,0,36.1,Thu,11,11,2022-11-17,29-156,GNB,,TEN,L 17-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,36.1,0,0.0,0,0.0,WR,WatkSa00
49,Dak Prescott,22,3,0,0,0,88.9,Sun,10,11,2022-11-20,29-114,DAL,@,MIN,W 40-3,22,25,3,88.0,276,2,0,0,8.0,0.0,139.3,0,0,0.00,11.0,12.64,12.64,12.5,72.0,3,16,5.3,0,1,66.7,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,64,88.9,0,0.0,0,0.0,QB,PresDa01
50,Hayden Hurst,0,0,3,0,0,65.2,Sun,10,11,2022-11-20,29-088,CIN,@,PIT,W 37-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,28,14.0,0,66.7,9.3,2,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,43,65.2,0,0.0,8,22.2,TE,HursHa00
