Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
36,Jerick McKinnon,38.6,0,4,4,0,0,Sun,1,1,2022-09-11,30-131,KAN,@,ARI,W 44-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,4,22,5.5,0,1,50.0,4,3,27,9.0,0,75.0,6.8,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,27,38.6,0,0.0,5,18.5,RB,McKiJe00
37,Darren Waller,84.5,0,0,6,0,0,Sun,1,1,2022-09-11,29-363,LVR,@,LAC,L 19-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,4,79,19.8,0,66.7,13.2,4,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,49,84.5,0,0.0,0,0.0,TE,WallDa01
38,Tyler Lockett,80.0,0,0,4,0,0,Mon,1,1,2022-09-12,29-349,SEA,,DEN,W 17-16,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,28,9.3,0,75.0,7.0,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,44,80.0,0,0.0,1,5.3,WR,LockTy00
39,Tyler Kroft,54.4,0,0,2,0,0,Sun,1,1,2022-09-11,29-331,SFO,@,CHI,L 10-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,1,9,9.0,0,50.0,4.5,,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,54.4,0,0.0,2,8.3,TE,KrofTy00
40,Chris Conley,14.3,0,0,2,0,0,Sun,1,1,2022-09-11,29-321,HOU,,IND,T 20-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,10,14.3,0,0.0,0,0.0,WR,ConlCh00
41,Jarvis Landry,72.1,0,0,9,0,0,Sun,1,1,2022-09-11,29-287,NOR,@,ATL,W 27-26,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,7,114,16.3,0,77.8,12.7,4,77.8,0,0,0,,0,0,,0,0,0,0,0,0,0,0,44,72.1,0,0.0,0,0.0,WR,LandJa00
42,Jacoby Brissett,100.0,34,4,0,0,0,Sun,1,1,2022-09-11,29-274,CLE,@,CAR,W 26-24,18,34,16,52.9,147,1,0,0,2.9,0.0,74.0,1,9,2.86,4.3,4.91,4.51,8.2,31.4,4,10,2.5,0,1,25.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,80,100.0,0,0.0,0,0.0,QB,BrisJa00
43,Davante Adams,94.8,0,0,17,0,0,Sun,1,1,2022-09-11,29-261,LVR,@,LAC,L 19-24,0,0,0,,0,0,0,0,,,,1,10,100.00,,,-10.00,,0.0,0,0,,0,0,,17,10,141,14.1,1,58.8,8.3,8,58.8,1,0,0,,0,0,,0,0,6,0,0,0,0,0,55,94.8,0,0.0,0,0.0,WR,AdamDa01
44,Carson Wentz,100.0,41,6,0,0,0,Sun,1,1,2022-09-11,29-255,WAS,,JAX,W 28-22,27,41,14,65.9,313,4,2,0,9.8,4.9,101.0,1,8,2.38,7.6,7.39,7.02,11.6,50.0,6,12,2.0,0,0,16.7,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0,QB,WentCa00
45,Tyler Higbee,94.0,0,0,11,0,0,Thu,1,1,2022-09-08,29-250,LAR,,BUF,L 10-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,11,5,39,7.8,0,45.5,3.5,4,36.4,0,0,0,,0,0,,0,0,0,0,0,0,0,0,63,94.0,0,0.0,0,0.0,TE,HigbTy00
46,Phillip Dorsett,5.7,0,0,1,0,0,Sun,1,1,2022-09-11,29-249,HOU,,IND,T 20-20 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,4,5.7,0,0.0,0,0.0,WR,DorsPh00
47,DeVante Parker,100.0,0,0,2,0,0,Sun,1,1,2022-09-11,29-234,NWE,@,MIA,L 7-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,9,9.0,0,50.0,4.5,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,57,100.0,0,0.0,1,5.3,WR,ParkDe01
