Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Adonai Mitchell,IND,WR66,0.7,4.8,0,48.6,657,3.8,0.8,87.2
Michael Wilson,ARI,WR67,0,1.3,0,49.8,651,3.7,0.2,86.8
Demarcus Robinson,LAR,WR68,0.3,7.8,0,45.8,587.1,4.4,0.6,84.5
DJ Chark Jr.,LAC,WR69,0,1.8,0,39.1,560.8,4.7,0.5,83.7
Josh Downs,IND,WR70,0,5.3,0,54.9,626.5,3.3,0.5,81.9
Rashod Bateman,BAL,WR71,0.3,4.8,0,46.2,604.8,3.5,0.2,81.5
Pat Freiermuth,PIT,TE15,0,0,0,54.8,572.5,4.1,0.5,81.2
Wan'Dale Robinson,NYG,WR72,8.1,58.1,0.5,61.1,567.6,2.8,0.5,80.9
Darius Slayton,NYG,WR73,0,1.3,0,43.4,612.2,3.2,0.1,80.3
Bucky Irving,TB,RB51,116.1,436.5,2.8,21,164.9,1,1.5,79.7
Xavier Legette,CAR,WR74,2.8,17.2,0.1,45.6,593.3,3,0.4,78.9
Jordan Mason,SF,RB52,100.3,441.9,3.8,10.1,74,0.6,0.1,77.6
MarShawn Lloyd,GB,RB53,97.2,405.8,3.1,16.8,131.1,0.9,1.1,75.4
Hunter Henry,NE,TE16,0,0,0,48.4,500,4.3,0.1,75.4
Cole Kmet,CHI,TE17,0,0,0,50.9,503.4,4.2,0.5,74.6
Josh Reynolds,DEN,WR75,0,1.5,0,41,532.5,3.6,0.5,74.2
T.J. Hockenson,MIN,TE18,0,0,0,56.1,561.3,3.2,0.8,73.6
Tyler Conklin,NYJ,TE19,0,0,0,53.3,532.3,3.3,0.1,73
Marvin Mims Jr.,DEN,WR76,3.9,23.5,0.1,41.2,541.2,2.6,0.3,72.2
Alexander Mattison,LV,RB54,113.6,424.8,2.6,14.5,97.8,1,0.9,72.1
Ray Davis,BUF,RB55,86.4,373.7,2.9,17.2,143.2,0.8,1.2,71.6
Jalen McMillan,TB,WR77,0.7,7.5,0,43.9,524.4,3.3,0.8,71.5
Cade Otton,TB,TE20,0,0,0,49.3,490.2,3.8,0.4,70.7
Jamaal Williams,NO,RB56,114.6,420.2,3,17.9,102.3,0.3,0.5,70.7
Quentin Johnston,LAC,WR78,1.7,6.8,0,40.6,504.8,3.2,0.1,70.2
Luke Musgrave,GB,TE21,0,0,0,47.5,497.5,3.4,0.1,70.2
Juwan Johnson,NO,TE22,0,0,0,41.7,453.9,4.1,0.1,70
Tyrone Tracy Jr.,NYG,RB57,102.4,396.2,2.5,16.3,119.5,0.8,1.1,69.2
Jalin Hyatt,NYG,WR79,0,1,0,43.2,539.7,2.5,0.3,68.6
Braelon Allen,NYJ,RB58,103.9,393.4,2.7,12.6,96.1,0.8,0.8,68.5
Isaiah Likely,BAL,TE23,0,0,0,35.2,423.4,4.1,0.1,66.8
Kendrick Bourne,NE,WR80,2.8,17.1,0,39.1,471.3,3.1,0.5,66.8
Chigoziem Okonkwo,TEN,TE24,0,2,0,48.2,513.2,2.7,0.4,66.7
Tyler Boyd,TEN,WR81,1.3,7.6,0,47.4,512.1,2.5,0.5,66.1
Tim Patrick,DET,WR82,0,9,0,38,467,3,0,65.6
Noah Fant,SEA,TE25,0,0,0,45.9,488.6,2.8,0.1,65.3
Roman Wilson,PIT,WR83,0.7,10,0,37,480.1,2.8,0.4,65
Jalen Tolbert,DAL,WR84,0,2.3,0,37.5,464.5,3,0.2,64.3
Jahan Dotson,PHI,WR85,0,2,0,35.5,436.3,3.5,0.4,63.7
Andrei Iosivas,CIN,WR86,0,3.3,0,36.3,425.3,3.2,0.2,61.9
Jermaine Burton,CIN,WR87,0.7,4.3,0,34.9,443.3,2.9,0.4,61.6
Tre Tucker,LV,WR88,6.1,39.9,0.2,35,424.5,2.4,0.3,61.5
Ray-Ray McCloud III,ATL,WR89,6.9,46.8,0.2,36.5,374.2,2.8,0.2,59.7
Greg Dortch,ARI,WR90,3.2,21.2,0.1,40.9,424,2.5,0.1,59.6
Tank Bigsby,JAC,RB59,101.5,343,3.6,9.2,62.8,0.3,2.2,59.4
Troy Franklin,DEN,WR91,0,2.5,0,35.6,443.3,2.5,0.1,59.4
Ricky Pearsall,SF,WR92,2.4,15.3,0.1,32.2,393.9,3,0.1,59.3
Noah Brown,WAS,WR93,0.3,0.8,0,33.9,466.1,2.1,0.1,58.8
Elijah Moore,CLE,WR94,4.4,14.7,0,37.2,428.5,2.5,0.4,58.7
Jonnu Smith,MIA,TE26,0,0,0,37.8,417.1,2.9,0.4,58.1
Malachi Corley,NYJ,WR95,4.4,30,0.2,33.9,376.2,2.6,0.1,57
Hayden Hurst,LAC,TE27,0,0,0,40.6,390.9,2.9,0.1,56.1
Miles Sanders,CAR,RB60,96.9,349.5,2,16.2,99.8,0.1,1.2,55.3
Luke McCaffrey,WAS,WR96,0.7,9.3,0,35.6,420.2,2.1,0.4,54.9
Jonathan Mingo,CAR,WR97,0,3,0,36,422.7,2.1,0.1,54.7
Clyde Edwards-Helaire,KC,RB61,68.1,254.3,1.6,15.9,135.9,1.2,0.5,54.7
Dyami Brown,WAS,WR98,0,2.8,0,29.6,401.8,2.4,0.1,54.7
Mike Gesicki,CIN,TE28,0,0,0,35.9,352.8,3.1,0.1,53.8
Jaylen Wright,MIA,RB62,57.8,270.4,2.2,12.8,104.4,0.7,0.8,53.7
Odell Beckham Jr.,MIA,WR99,0,2,0,27.9,379.6,2.6,0.4,52.7
Roschon Johnson,CHI,RB63,66.9,262.9,2,17.9,118.5,0.4,0.8,51.4
Dameon Pierce,HOU,RB64,72.8,306.3,2.2,10.5,76.8,0.2,0.5,51.4
John Stephens Jr.,DAL,WR100,2,10,0,29.6,387.5,2.3,1,51.3
Ben Sinnott,WAS,TE29,0,0,0,36.8,373.8,2.4,0.4,51.2
Zach Ertz,WAS,TE30,0,0,0,37.9,349.3,2.7,0.1,50.9
Kenneth Gainwell,PHI,RB65,66.8,260.6,1.9,17.2,120.3,0.4,1.2,49.9
Trey Palmer,TB,WR101,3.8,21.4,0.1,29.4,344.2,2.3,0.5,49.7
Kalif Raymond,DET,WR102,2.2,24.6,0.1,28.9,357,1.9,0.2,49.6
Cedrick Wilson Jr.,NO,WR103,0.3,2.3,0,26.6,330.5,2.7,0.1,49.5
Dawson Knox,BUF,TE31,0,0,0,28.3,297.4,3.3,0.1,49.3
D'Onta Foreman,CLE,RB66,64.2,280.4,2,10.6,78.1,0.3,0.2,49.2
Tucker Kraft,GB,TE32,0,0,0,32.7,341.7,2.5,0.1,49
Greg Dulcich,DEN,TE33,0,0,0,33.5,377,1.9,0.1,48.9
Audric Estime,DEN,RB67,68.2,275.6,1.9,12.9,96.9,0.5,1.4,48.8
Alec Pierce,IND,WR104,0,1.3,0,24.1,362.6,2,0.1,48.4
Treylon Burks,TEN,WR105,1.8,18.7,0.1,27,357.8,1.8,0.6,47.4
Theo Johnson,NYG,TE34,0,0,0,35.6,345.7,2.3,0.6,47.4
A.T. Perry,NO,WR106,0.3,1.8,0,21.8,318.3,2.4,0,46.6
KaVontae Turpin,DAL,WR107,8.7,67.2,0.4,18.7,220.4,2.7,0.4,46.3
Samaje Perine,KC,RB68,42.4,185.4,1.2,21.7,171,0.8,0.8,46.1
Kylen Granson,IND,TE35,0,0,0,31,333.4,2.1,0.1,45.7
Gerald Everett,CHI,TE36,0,0,0,32.5,302,2.6,0.1,45.4
Tyler Higbee,LAR,TE37,0,0,0,31.8,323.9,2,0.1,44.5
Jalen Nailor,MIN,WR108,0,0.3,0,27.5,341.6,1.7,0.1,44.2
Van Jefferson,PIT,WR109,0,4,0,24.1,327.2,1.9,0.1,44.2
Ja'Tavion Sanders,CAR,TE38,0,0,0,29.9,311,2.3,0.4,44.1
Justice Hill,BAL,RB69,57.8,231.2,1.6,13.8,102.4,0.5,0.8,44
Kendre Miller,NO,RB70,54.2,221.8,1.7,11.9,100.5,0.5,0.7,43.8
Zay Jones,ARI,WR110,0.3,2.3,0,29.2,309.2,2.2,0.4,43.5
Calvin Austin III,PIT,WR111,4.5,36.3,0.1,25.4,294.8,1.6,0.2,43.4
Michael Mayer,LV,TE39,0,0,0,29,313,2,0.1,43.1
Colby Parkinson,LAR,TE40,0,0,0,27.8,293.6,2.3,0.1,42.8
Emanuel Wilson,GB,RB71,51.1,222.5,1.5,11.1,80.3,0.6,0.1,42.8
Cedric Tillman,CLE,WR112,0,1.7,0,24.2,308,2,0.2,42.4
Jauan Jennings,SF,WR113,0,3.3,0,24.8,303,2,0.1,42.4
Keaton Mitchell,BAL,RB72,52.5,255,1.6,8.6,69.4,0.2,0.7,42.1
Nelson Agholor,BAL,WR114,0,2,0,23.3,291.8,2.1,0.1,41.9
Kimani Vidal,LAC,RB73,47,231.9,1.6,10.8,76.5,0.3,0.1,41.8
Tommy Tremble,CAR,TE41,0,0,0,27.5,261.6,2.5,0.1,40.8
Chris Rodriguez Jr.,WAS,RB74,0,235,2,7,51,0,0,40.6
Dalvin Cook,DAL,RB75,49.3,229.5,1.6,8.5,60.8,0.3,0,40.3
Daniel Bellinger,NYG,TE42,0,0,0,31.4,297.5,1.8,0.1,40.3
K.J. Osborn,NE,WR115,0,2,0,24.8,299.7,1.7,0.1,40
Trey Sermon,IND,RB76,52.8,254.5,1.4,7.9,54.5,0.2,0.1,39.8
Devontez Walker,BAL,WR116,0,3.5,0,22.3,273.2,2,0,39.8
Eric Gray,NYG,RB77,39.5,206.5,1.4,10.8,73.4,0.5,0.1,39.6
Isaac Guerendo,SF,RB78,39.2,226.5,1.9,6.5,52.9,0.1,0.1,39.6
Ty Johnson,BUF,RB79,39.7,165.3,1.1,13.1,111.2,0.7,0.2,37.9
KhaDarel Hodge,ATL,WR117,0,0,0,20.6,272,1.7,0.3,36.9
Olamide Zaccheaus,WAS,WR118,0,5,0,22.1,270.4,1.6,0.1,36.8
Javon Baker,NE,WR119,0,7.3,0,22.4,269,1.4,0,36.2
Allen Lazard,NYJ,WR120,0,0.7,0,19.4,249.9,1.8,0.1,35.7
Xavier Gipson,NYJ,WR121,4.6,32.6,0.2,19.4,221.3,1.6,0.1,35.6
Noah Gray,KC,TE43,0,0,0,22.6,237.5,1.7,0.1,34.1
Will Shipley,PHI,RB80,33.9,180,1.5,6.3,47.7,0.4,0.1,34
Will Dissly,LAC,TE44,0,0,0,24.8,238.8,1.6,0.1,33.2
Cam Akers,HOU,RB81,41.3,192.5,1.4,5.7,43.6,0.2,0.1,33
John Metchie III,HOU,WR122,0,5.3,0,19.2,232.7,1.5,0.1,32.7
Trenton Irwin,CIN,WR123,0,1.5,0,18.2,230.5,1.5,0.1,32.3
JuJu Smith-Schuster,KC,WR124,0.3,1,0,21.4,226.1,1.6,0,32.2
Cordarrelle Patterson,PIT,RB82,36,155.5,1.1,10.4,79.1,0.4,0.1,32
Pierre Strong Jr.,CLE,RB83,51.1,226.6,1.2,5.5,42.3,0.1,1.4,31.9
Parker Washington,JAC,WR125,0,4,0,20.4,217.2,1.6,0,31.7
Emari Demercado,ARI,RB84,34.2,149.1,1.1,13.4,88.4,0.4,0.4,31.7
Tutu Atwell,LAR,WR126,2.2,14.1,0.1,17.4,229.7,1.2,0.1,31.7
Mo Alie-Cox,IND,TE45,0,0,0,17.3,193.9,2,0,31.6
Evan Hull,IND,RB85,0,134,1,8,59,1,0,31.3
Deuce Vaughn,DAL,RB86,40,148,1.2,9.1,68.5,0.2,0.4,29.3
Isaiah Davis,NYJ,RB87,45.7,168.4,1.3,5.6,41,0.1,0.1,29.1
Brevin Jordan,HOU,TE46,0,0,0,14.6,183.6,1.7,0,28.6
Dylan Laube,LV,RB88,27,145.3,1.1,7.7,57.2,0.1,0,27.4
Josh Oliver,MIN,TE47,0,0,0,19.7,190.6,1.4,0.4,26.9
Durham Smythe,MIA,TE48,0,0,0,19.6,191.4,1.3,0,26.8
Tyquan Thornton,NE,WR127,1.2,8,0,16,198.7,1,0.1,26.6
Mack Hollins,BUF,WR128,0,0,0,14.4,185.4,1.3,0,26.3
Jaheim Bell,NE,TE49,0,0,0,16.5,172.5,1.5,0,26.3
Adam Trautman,DEN,TE50,0,0,0,17.3,168.4,1.5,0,26
Brock Wright,DET,TE51,0,0,0,17.1,163.2,1.6,0.1,26
D.J. Montgomery,IND,WR129,0,6,0,16,192,1,0,25.8
Tyler Goodson,IND,RB89,25.1,130.9,0.9,7.5,54.4,0.4,0.1,25.7
