rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
2793,Andrei Iosivas,69.6,Sun,6,6,2023-10-15,24-000,CIN,NA,SEA,W 17-13,8,14.8,0,0,16,69.6,WR,IosiAn00
2811,Dyami Brown,12.5,Sun,6,6,2023-10-15,23-348,WAS,@,ATL,W 24-16,11,21.6,0,0,3,12.5,WR,BrowDy00
2813,Eric Gray,28.6,Sun,6,6,2023-10-15,23-345,NYG,@,BUF,L 9-14,1,1.3,0,0,6,28.6,RB,GrayEr01
2831,Antoine Green,32,Sun,6,6,2023-10-15,23-334,DET,@,TAM,W 20-6,4,5.7,0,0,8,32,WR,GreeAn00
2840,Trey McBride,22.2,Sun,6,6,2023-10-15,23-327,ARI,@,LAR,L 9-26,44,57.9,0,0,6,22.2,TE,McBrTr01
2848,Rashod Bateman,3.2,Sun,6,6,2023-10-15,23-320,BAL,@,TEN,W 24-16,34,47.9,0,0,1,3.2,WR,BateRa00
2874,Justyn Ross,33.3,Thu,6,6,2023-10-12,23-301,KAN,NA,DEN,W 19-8,10,14.1,0,0,7,33.3,WR,RossJu00
2881,Deven Thompkins,36,Sun,5,6,2023-10-15,23-296,TAM,NA,DET,L 6-20,14,25,0,0,9,36,WR,ThomDe07
2900,Chris Brooks,40,Sun,6,6,2023-10-15,23-277,MIA,NA,CAR,W 42-21,11,16.4,0,0,12,40,RB,BrooCh00
2932,Ronnie Bell,41.9,Sun,6,6,2023-10-15,23-260,SFO,@,CLE,L 17-19,1,1.6,0,0,13,41.9,WR,BellRo01
2939,Khalil Shakir,33.3,Sun,6,6,2023-10-15,23-254,BUF,NA,NYG,W 14-9,24,39.3,0,0,7,33.3,WR,ShakKh00
2978,Hunter Luepke,64,Mon,6,6,2023-10-16,23-230,DAL,@,LAC,W 20-17,8,12.5,0,0,16,64,RB,LuepHu00
2996,Teagan Quitoriano,42.3,Sun,6,6,2023-10-15,23-214,HOU,NA,NOR,W 20-13,22,34.9,0,0,11,42.3,TE,QuitTe00
3000,Cole Turner,16.7,Sun,6,6,2023-10-15,23-213,WAS,@,ATL,W 24-16,9,17.6,0,0,4,16.7,TE,TurnCo00
3006,Chase Brown,43.5,Sun,6,6,2023-10-15,23-208,CIN,NA,SEA,W 17-13,4,7.4,0,0,10,43.5,RB,BrowCh10
3055,Isaiah Likely,16.1,Sun,6,6,2023-10-15,23-180,BAL,@,TEN,W 24-16,17,23.9,0,0,5,16.1,TE,LikeIs00
3080,Jalen Brooks,44,Mon,6,6,2023-10-16,23-162,DAL,@,LAC,W 20-17,5,7.8,0,0,11,44,WR,BrooJa03
3111,Xavier Hutchinson,34.6,Sun,6,6,2023-10-15,23-136,HOU,NA,NOR,W 20-13,12,19,0,0,9,34.6,WR,HutcXa00
3115,Tommy Tremble,56.7,Sun,6,6,2023-10-15,23-135,CAR,@,MIA,L 21-42,31,44.9,0,0,17,56.7,TE,TremTo00
3125,Terrace Marshall Jr.,6.7,Sun,6,6,2023-10-15,23-128,CAR,@,MIA,L 21-42,22,31.9,0,0,2,6.7,WR,MarsTe00
3131,Payne Durham,28,Sun,5,6,2023-10-15,23-122,TAM,NA,DET,L 6-20,6,10.7,0,0,7,28,TE,DurhPa00
3160,Julian Hill,10,Sun,6,6,2023-10-15,23-098,MIA,NA,CAR,W 42-21,31,46.3,0,0,3,10,TE,HillJu02
3166,Brevin Jordan,23.1,Sun,6,6,2023-10-15,23-091,HOU,NA,NOR,W 20-13,12,19,0,0,6,23.1,TE,JordBr00
3200,Jeremy Ruckert,54.5,Sun,6,6,2023-10-15,23-065,NYJ,NA,PHI,W 20-14,23,35.4,0,0,12,54.5,TE,RuckJe00
3236,Derius Davis,36,Mon,5,6,2023-10-16,23-035,LAC,NA,DAL,L 17-20,2,2.7,0,0,9,36,WR,DaviDe02
3237,Zay Flowers,3.2,Sun,6,6,2023-10-15,23-034,BAL,@,TEN,W 24-16,63,88.7,0,0,1,3.2,WR,FlowZa00
3246,Daniel Bellinger,47.6,Sun,6,6,2023-10-15,23-023,NYG,@,BUF,L 9-14,41,53.2,0,0,10,47.6,TE,BellDa00
3252,Chris Rodriguez,54.2,Sun,6,6,2023-10-15,23-019,WAS,@,ATL,W 24-16,6,11.8,0,0,13,54.2,RB,RodrCh00
3340,Brenton Strange,35.5,Sun,6,6,2023-10-15,22-292,JAX,NA,IND,W 37-20,34,53.1,0,0,11,35.5,TE,StraBr00
3351,Zach Charbonnet,52.2,Sun,5,6,2023-10-15,22-280,SEA,@,CIN,L 13-17,18,24.3,0,0,12,52.2,RB,CharZa00
3369,Rakim Jarrett,32,Sun,5,6,2023-10-15,22-264,TAM,NA,DET,L 6-20,7,12.5,0,0,8,32,WR,JarrRa00
3380,Davis Allen,29.6,Sun,6,6,2023-10-15,22-254,LAR,NA,ARI,W 26-9,4,7,0,0,8,29.6,TE,AlleDa02
3403,Xavier Gipson,13.6,Sun,6,6,2023-10-15,22-221,NYJ,NA,PHI,W 20-14,7,10.8,0,0,3,13.6,WR,GipsXa00
3404,Tre Tucker,28,Sun,6,6,2023-10-15,22-221,LVR,NA,NWE,W 21-17,22,31.4,0,0,7,28,WR,TuckTr00
3427,Jonathan Mingo,23.3,Sun,6,6,2023-10-15,22-178,CAR,@,MIA,L 21-42,64,92.8,0,0,7,23.3,WR,MingJo00
3446,Zach Evans,29.6,Sun,6,6,2023-10-15,22-138,LAR,NA,ARI,W 26-9,6,10.5,0,0,8,29.6,RB,EvanZa00
3458,Tyjae Spears,22.6,Sun,6,6,2023-10-15,22-122,TEN,NA,BAL,L 16-24,31,56.4,0,0,7,22.6,RB,SpeaTy00
3469,Michael Mayer,24,Sun,6,6,2023-10-15,22-101,LVR,NA,NWE,W 21-17,57,81.4,0,0,6,24,TE,MayeMi00
3503,Tyler Scott,15.4,Sun,6,6,2023-10-15,22-003,CHI,NA,MIN,L 13-19,39,59.1,0,0,4,15.4,WR,ScotTy00
3507,Sean Tucker,44,Sun,5,6,2023-10-15,21-355,TAM,NA,DET,L 6-20,0,0,0,0,11,44,RB,TuckSe00
3536,Keaton Mitchell,54.8,Sun,6,6,2023-10-15,21-271,BAL,@,TEN,W 24-16,0,0,0,0,17,54.8,RB,MitcKe01
3548,Marvin Mims,38.1,Thu,6,6,2023-10-12,21-207,DEN,@,KAN,L 8-19,12,23.1,0,0,8,38.1,WR,MimsMa00
